ID,Time,Air,Tricks,Speed,Points
Ramp0,41.2605171203613,112,0,42,20
Ramp0,52.4205169677734,129,0,60,30
Ramp0,60.3605194091797,132,1,45,42
Ramp0,128.160522460938,79,1,93,30
Ramp0,185.460510253906,107,0,68,30
Ramp0,238.120513916016,49,0,71,0
Ramp0,253.820510864258,189,6,72,30
Ramp0,486.400512695313,74,2,71,22
Ramp0,595.280517578125,41,0,91,0
Ramp1,273.04052734375,84,2,30,22
Ramp1,403.540496826172,165,6,60,90
Ramp2,155.160522460938,312,12,58,50
Ramp2,223.620513916016,295,13,28,60
Ramp2,226.340515136719,95,4,33,44
Ramp2,230.440521240234,127,5,30,50
Ramp2,349.980499267578,266,10,41,60
Ramp2,355.240509033203,192,6,27,34
Ramp2,367.980499267578,328,15,5,50
Ramp2,377.900512695313,290,10,3,25
Ramp2,430.180511474609,178,6,56,60
Ramp2,438.560516357422,82,0,56,0
Ramp2,455.280517578125,207,8,41,80
Ramp2,480.180511474609,219,9,42,115
Speed0,42.5605163574219,0,0,59,20
Speed0,48.1405181884766,0,0,71,20
Speed0,67.8205184936523,0,0,65,20
Speed0,88.1405181884766,0,0,66,20
Speed0,109.340515136719,0,0,81,20
Speed0,110.680519104004,0,0,88,0
Speed0,125.86051940918,0,0,71,0
Speed0,148.180511474609,0,0,88,0
Speed0,249.920516967773,0,0,72,20
Speed0,257.620513916016,0,0,85,20
Speed0,264.840515136719,0,0,60,0
Speed0,318.700500488281,0,0,62,0
Speed0,343.500518798828,0,0,73,0
Speed1,173.500518798828,224,10,27,70
Speed1,288.200500488281,67,2,72,18
Speed1,467.800506591797,161,4,39,20
Speed2,268.560516357422,71,2,78,36
Speed2,285.320526123047,372,14,124,70
Speed2,299.980499267578,249,10,1,40
Speed2,381.180511474609,57,0,98,40
Spike0,45.340518951416,50,0,86,15
Spike0,55.8205184936523,40,0,57,0
Spike0,79.9605178833008,57,1,58,25
Spike0,92.8605194091797,61,0,69,30
Spike0,95.0205154418945,57,0,64,15
Spike0,103.120513916016,56,0,57,30
Spike0,436.760498046875,56,0,73,30
Spike1,194.760513305664,63,0,40,15
Spike1,242.260513305664,74,2,68,37
Spike1,342.880523681641,68,0,73,15
Spike2,117.540519714355,51,1,84,40
Spike2,164.440521240234,55,0,75,45
Spike2,167.680511474609,50,0,72,30
Spike2,442.420501708984,57,0,74,15
Spike2,512.04052734375,58,0,82,30
Spike2,553.0205078125,64,0,138,20
Wall0,30.5205192565918,101,0,11,25
Wall0,33.4005165100098,0,0,45,25
Wall0,69.3405151367188,2,0,83,25
Wall0,107.000518798828,0,0,72,25
Wall0,131.920516967773,2,0,73,25
Wall0,336.480499267578,0,0,80,25
Wall0,444.680511474609,0,0,76,0
Wall0,482.040496826172,2,0,64,25
Wall0,484.300506591797,2,0,76,0
Wall1,192.260513305664,5,0,74,50
Wall1,263.420501708984,141,3,61,74
Wall1,358.300506591797,0,0,63,25
Wall1,432.340515136719,0,0,48,50
Wall1,462.100494384766,3,0,74,0
Wall1,518.880493164063,11,0,82,50
Wall2,122.080513000488,56,0,59,75
Wall2,312.860504150391,179,4,19,0
Wall2,329.860504150391,545,14,1,90
Wall2,446.340515136719,73,2,66,93
