ID,Time,Air,Tricks,Speed,Points
Ramp0,37.3188819885254,102,1,26,38
Ramp0,45.1588821411133,104,2,31,24
Ramp0,52.4588851928711,159,2,42,20
Ramp0,60.6988830566406,44,0,42,30
Ramp0,254.578872680664,391,5,57,50
Ramp1,169.638885498047,170,4,60,44
Ramp1,269.298889160156,245,5,56,80
Ramp1,308.478881835938,150,1,6,46
Ramp1,376.778869628906,367,4,7,44
Ramp2,110.698883056641,207,3,25,10
Ramp2,140.978881835938,185,3,42,36
Ramp2,163.078887939453,226,0,42,70
Ramp2,193.778884887695,300,2,105,50
Ramp2,239.038879394531,258,6,43,80
Ramp2,284.318878173828,299,7,30,40
Ramp2,321.078887939453,299,4,15,32
Ramp2,366.678863525391,191,0,32,40
Ramp2,383.318878173828,168,2,43,22
Ramp2,423.318878173828,0,0,96,0
Ramp2,522.018859863281,237,8,41,90
Ramp2,573.538879394531,425,18,62,100
Ramp2,581.098876953125,58,0,58,0
Speed0,40.9788818359375,74,0,109,20
Speed0,67.6988830566406,0,0,84,20
Speed0,146.158874511719,249,4,63,0
Speed0,149.758880615234,0,0,77,20
Speed0,151.118881225586,0,0,88,0
Speed0,186.158874511719,0,0,86,20
Speed0,197.098876953125,0,0,88,20
Speed0,199.158874511719,0,0,91,20
Speed0,203.418884277344,93,2,107,82
Speed0,211.51887512207,0,0,84,20
Speed0,218.938873291016,293,1,2,20
Speed0,220.458877563477,0,0,51,0
Speed0,231.998886108398,0,0,81,20
Speed0,244.758880615234,0,0,83,20
Speed0,261.758880615234,0,0,81,20
Speed0,263.718872070313,0,0,90,20
Speed0,277.038879394531,0,0,86,20
Speed0,301.8388671875,0,0,76,20
Speed0,304.278869628906,0,0,90,20
Speed0,309.418884277344,0,0,50,0
Speed0,351.638885498047,0,0,83,0
Speed0,386.118865966797,0,0,72,20
Speed0,391.018890380859,0,0,85,20
Speed0,405.418884277344,0,0,87,20
Speed0,407.158874511719,0,0,91,20
Speed0,419.118865966797,0,0,76,0
Speed0,421.198883056641,0,0,90,0
Speed0,436.558868408203,0,0,88,20
Speed0,477.798889160156,0,0,82,0
Speed0,490.218872070313,0,0,72,0
Speed0,564.458862304688,0,0,72,20
Speed0,595.278869628906,9,0,74,0
Speed1,101.558883666992,78,2,73,28
Speed1,422.8388671875,62,0,125,20
Spike0,57.1188850402832,49,0,53,0
Spike0,445.798889160156,52,0,71,15
Spike2,312.238891601563,51,0,86,30
Spike2,429.698883056641,52,0,81,45
Wall0,25.4588832855225,45,2,21,22
Wall0,29.8388843536377,42,0,34,0
Wall0,312.638885498047,1,0,82,25
Wall0,394.578887939453,0,0,82,0
Wall0,403.438873291016,0,0,76,25
Wall0,490.698883056641,0,0,92,25
Wall1,173.498886108398,72,0,65,0
Wall1,225.398880004883,0,0,82,50
Wall1,351.078887939453,3,0,75,50
Wall1,378.198883056641,0,0,44,50
Wall1,386.758880615234,1,0,92,0
Wall1,392.138885498047,4,0,89,50
Wall1,409.558868408203,105,1,107,60
Wall1,417.078887939453,31,0,72,0
Wall1,447.298889160156,2,0,75,50
Wall1,491.938873291016,3,0,84,50
Wall2,359.298889160156,375,7,72,50
