Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.02037,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,29,1,True,0,3,0,40.12775,,2,0,1,0,0,0,,0,0,0,366,42
60.03633,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,9,189,13,True,0,8,0,48.85621,,2,0,1,0,0,0,,17,101,0,894,43
90.05199,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,13,306,18,True,0,9,0,52.00157,,3,0,2,1,1,0,,31,201,0,985,43
120.069,,15,9,25,22,18,15,25,22,22,17,25,32,31,46,13,10,20,466,27,False,0,14,0,56.35083,,3,0,3,1,2,0,,90,301,0,1350,43
150.101,,19,17,25,20,18,15,25,20,22,17,25,30,27,37,13,15,27,608,33,False,1,15,0,58.75501,,4,0,4,2,3,0,,112,401,0,1711,60
180.1337,,21,17,16,33,24,15,49,16,20,17,16,28,21,37,4,9,30,803,39,False,1,18,0,57.26266,,16,0,14,2,3,0,,112,471,0,2389,93
210.1505,,21,17,15,33,24,15,46,16,19,17,16,28,22,37,9,9,34,951,46,False,2,24,0,57.32858,,20,0,18,2,3,0,,113,471,0,3038,157
240.1662,,21,17,15,34,24,15,46,16,19,17,16,28,22,37,9,8,39,1105,47,False,2,27,0,56.54697,,34,0,30,14,13,0,,113,471,0,3777,193
270.1993,,18,19,9,32,21,16,27,20,18,16,15,27,29,35,35,8,47,1347,54,False,2,33,0,57.90897,,40,0,37,15,14,0,,192,621,0,4487,219
300.2151,,18,19,10,27,22,16,22,32,18,16,16,22,28,35,38,4,54,1497,57,False,2,37,0,59.26387,,54,0,51,23,22,0,,203,801,0,5330,308
330.2479,,17,19,10,23,21,17,22,27,17,16,16,19,31,34,38,18,59,1587,61,False,2,38,0,58.19534,,63,0,60,23,22,0,,203,851,0,6064,471
360.2811,,19,20,10,25,22,18,24,26,18,16,19,18,27,32,33,17,65,1761,66,False,2,41,0,58.45877,,71,0,68,23,22,0,,245,901,0,6720,493
390.2977,,19,20,10,27,22,18,24,25,18,16,19,18,27,32,33,17,69,1876,69,False,2,46,0,57.40804,,83,0,81,23,22,0,,289,991,0,7692,602
420.3131,,21,20,17,27,21,18,22,25,17,16,18,18,26,32,30,17,70,2014,73,False,3,49,0,57.13984,,93,0,91,23,22,0,,289,991,0,8282,658
450.3292,,22,21,18,26,22,18,23,24,19,18,19,20,24,29,26,16,77,2262,82,False,3,52,0,57.54287,,97,0,95,26,25,0,,290,991,0,8764,662
480.3623,,22,21,18,28,22,18,24,23,19,18,20,19,23,29,24,16,82,2477,91,False,3,56,0,57.67287,,108,0,105,30,29,0,,296,1061,0,9516,695
510.3949,,23,22,18,28,22,19,24,23,19,18,20,19,22,27,24,16,87,2616,94,False,4,58,0,57.41931,,114,0,111,32,31,0,,297,1061,0,10010,738
540.3951,,23,22,18,27,22,19,24,23,19,18,20,21,22,27,24,15,92,2821,104,False,5,62,0,57.70426,,119,0,116,36,35,0,,313,1201,0,10760,772
570.4109,,23,22,18,27,22,19,24,23,20,18,20,21,22,27,24,15,98,2963,108,False,6,64,0,58.55331,,125,0,123,37,36,0,,347,1341,0,11491,796
600.4271,,23,23,18,27,22,19,24,23,20,18,20,21,22,27,24,15,100,3013,111,False,7,70,0,58.26125,,131,0,129,37,36,0,,366,1391,0,12263,907
