ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,162,9,16,160,2,39.5999984741211,32.4000015258789,115.61742401123,1.74510836601257,8.90353107452393,8.90640544891357
Ramp1,214,4,26,233,3.5,32.25,53.5,77.4984283447266,1.18082356452942,15.196249961853,6.02563571929932
Ramp2,570,16,34,219.461547851563,4.07692337036133,48.7692337036133,43.8461532592773,47.1807518005371,2.31437873840332,3.37672519683838,13.2371873855591
Speed0,502,37,47,22.4374961853027,0.218750029802322,79.3437576293945,15.6875,3.22323656082153,0.969450533390045,1.66870665550232,3.1374249458313
Speed1,48,3,19,70,1,99,24,8,1,26,4
Speed2,0,1,12,0,0,0,0,0,0,0,0
Spike0,15,3,8,50.5,0,62,7.5,1.5,0,9,7.5
Spike1,0,0,12,0,0,0,0,0,0,0,0
Spike2,75,2,17,51.5,0,83.5,37.5,0.5,0,2.5,7.5
Wall0,97,6,27,14.6666669845581,0.333333343267441,64.5,16.1666660308838,7.13038921356201,0.862851679325104,12.6074314117432,4.52239799499512
Wall1,360,12,41,22.0999984741211,0.100000001490116,78.5,36,6.919602394104,0.796517252922058,2.29904556274414,5.25104284286499
Wall2,50,1,35,375,7,72,50,0,0,0,0
