Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00358,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,50,4,True,0,0,0,52.9189,,0,0,0,0,0,0,,8,51,0,90,0
60.01899,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,7,160,11,True,0,1,0,53.81705,,0,0,0,0,0,0,,8,51,0,264,11
90.01929,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,10,230,16,True,1,1,0,54.25642,,0,0,0,0,0,0,,17,149,0,363,11
120.0351,,30,38,25,25,23,20,25,25,23,20,25,25,11,8,13,13,15,360,29,False,2,1,0,57.94795,,0,0,0,0,0,0,,22,151,0,705,12
150.0682,,31,38,30,25,22,20,23,25,22,20,23,25,10,8,11,12,18,360,29,False,2,2,0,55.53841,,0,0,0,0,0,0,,22,151,0,1209,22
180.0844,,31,35,33,25,21,17,22,25,21,17,22,25,13,18,10,12,22,430,35,False,2,4,0,58.89139,,0,0,0,0,0,0,,36,151,0,1594,25
210.0999,,35,36,42,25,20,16,20,25,20,16,20,25,12,18,4,12,30,624,54,False,2,6,0,59.88047,,1,0,0,0,0,0,,45,151,0,2225,30
240.0999,,35,35,42,25,22,21,20,25,19,15,20,25,11,15,4,12,33,654,57,False,3,7,0,61.32817,,1,0,0,0,0,0,,77,201,0,2411,32
270.1161,,35,35,43,25,22,22,20,25,19,14,20,25,10,15,4,12,36,714,62,False,3,8,0,60.83693,,1,0,0,0,0,0,,103,251,0,2675,39
300.1316,,34,35,40,24,24,22,22,28,18,14,19,24,10,14,5,10,40,774,66,False,4,11,0,61.1013,,1,0,0,0,0,0,,170,411,0,3320,45
330.1643,,34,36,38,24,25,22,26,28,18,14,18,24,10,14,5,10,45,824,70,False,4,12,0,62.57305,,1,0,0,0,0,0,,258,531,0,3538,46
360.1804,,32,32,39,24,24,20,26,28,21,23,17,24,9,11,4,10,49,894,76,False,5,14,0,61.68571,,1,0,0,0,0,0,,259,601,0,4508,47
390.2131,,32,32,39,24,24,20,26,28,21,23,17,24,9,11,4,10,51,924,79,False,6,17,0,62.39513,,1,0,0,0,0,0,,291,601,0,4837,47
420.2135,,32,32,39,24,23,20,26,26,22,23,17,27,8,11,4,9,55,1009,86,False,6,20,0,62.0967,,1,0,0,0,0,0,,291,601,0,5350,54
450.229,,33,34,40,24,23,19,26,26,22,22,17,27,8,10,4,9,59,1059,90,False,6,20,0,60.9905,,1,0,1,0,1,0,,291,601,0,5832,67
480.2458,,34,34,41,23,23,19,25,26,21,22,17,27,8,10,3,11,62,1129,97,False,7,21,0,61.2912,,1,0,1,0,1,0,,291,601,0,6240,76
510.2612,,33,35,41,22,23,20,25,25,22,21,17,29,8,10,3,10,65,1224,104,False,7,23,0,61.38734,,1,0,1,0,1,0,,298,651,0,7052,102
540.2772,,28,26,37,22,20,16,23,25,19,16,15,29,19,27,12,10,73,1339,113,False,8,24,0,61.72178,,1,0,1,0,1,0,,365,771,0,7505,103
570.2942,,28,26,37,22,20,16,23,25,19,16,15,29,19,27,12,10,76,1469,125,False,10,29,0,61.51213,,1,0,1,0,1,0,,367,771,0,8273,125
600.3098,,29,26,39,22,20,16,22,25,18,16,14,29,19,27,11,10,79,1564,134,False,11,29,0,61.75154,,1,0,1,0,1,0,,371,771,0,8677,127
