ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,360,25,26,70.9375076293945,0.0625,58.875,22.4999980926514,6.34414339065552,0.483853280544281,3.72724843025208,2.67633461952209
Ramp1,474,17,39,157,0.0833333358168602,48.7499961853027,39.5,12.0575771331787,0.906040132045746,5.39390563964844,3.42900252342224
Ramp2,40,1,22,348,0,19,40,0,0,0,0
Speed0,120,8,16,0,0,75.625,15,0,0,2.88280081748962,2.53771042823792
Speed1,40,4,22,58.6666679382324,0,133.33332824707,13.3333330154419,5.61743259429932,0,5.8642053604126,9.42809009552002
Speed2,20,1,25,65,0,158,20,0,0,0,0
Spike0,45,4,16,149.33332824707,0,41.3333320617676,15,25.633092880249,0,21.4566745758057,0
Spike1,0,2,14,0,0,0,0,0,0,0,0
Spike2,90,3,29,45,0,70.5,45,14,0,1.5,0
Wall0,85,8,39,13.3333339691162,0,82.1666717529297,14.1666669845581,27.1468486785889,0,28.6801376342773,9.56365966796875
Wall1,0,4,23,9,0,66.6666641235352,0,11.3431329727173,0,16.0485363006592,0
Wall2,0,2,22,71.5,0,50,0,6.5,0,19,0
