ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,380,21,33,71.1111145019531,0,64.9444427490234,21.1111087799072,1.75818693637848,0,3.1364688873291,5.39198780059814
Ramp1,610,21,37,134.285720825195,0,57.761905670166,29.0476188659668,1.67979192733765,0,2.39579629898071,3.07997488975525
Ramp2,140,8,26,233.857147216797,0.142857149243355,40.2857131958008,20,13.7201147079468,0.828267514705658,3.57985472679138,4.88634729385376
Speed0,160,14,27,0,0,81.4166641235352,13.3333339691162,0,0,3.04760003089905,2.82690167427063
Speed1,70,4,22,61.5,0,145,17.5,5.05275344848633,0,8.91215324401855,10.2771043777466
Speed2,120,3,25,159.66667175293,0,102.333335876465,40,71.1504669189453,0,28.8627014160156,0
Spike0,75,4,21,60.75,0,73,18.75,1.60998702049255,0,6.09804058074951,2.79731559753418
Spike1,15,1,14,59,0,63,15,0,0,0,0
Spike2,150,4,23,55.75,0,80.5,37.5,1.86687612533569,0,1.8423752784729,4.67840528488159
Wall0,50,4,17,0.5,0,85.25,12.5,0.742321014404297,0,5.44265222549438,7.55013847351074
Wall1,225,8,25,1.57142853736877,0,73.2857208251953,32.1428565979004,1.01719403266907,0,3.17025804519653,8.03404426574707
Wall2,225,4,24,83.75,0,67,56.25,11.3948631286621,0,2.33858799934387,11.4440326690674
