ID,Time,Air,Tricks,Speed,Points
Ramp0,38.9238433837891,95,2,63,73
Ramp0,69.9838409423828,76,2,62,46
Ramp1,95.4038391113281,103,2,40,60
Ramp2,127.183837890625,191,4,39,46
Ramp2,142.483840942383,0,0,59,0
Ramp2,158.783843994141,217,8,36,50
Speed0,19.7838439941406,0,0,63,20
Speed0,35.1038436889648,0,0,58,20
Speed0,92.7838439941406,218,3,61,56
Speed0,106.123840332031,0,0,66,20
Speed0,111.26383972168,0,0,89,20
Speed0,121.283843994141,304,6,66,20
Spike0,29.5438423156738,50,0,43,15
Spike0,42.9238433837891,48,0,55,30
Spike0,98.803840637207,69,0,9,15
Spike1,132.843841552734,97,0,27,30
Spike1,148.703842163086,65,1,71,90
Spike2,146.163833618164,60,0,73,60
Wall0,32.323844909668,1,0,52,25
Wall0,48.7438430786133,71,1,49,33
Wall0,51.8438415527344,91,1,28,29
Wall0,59.7838439941406,75,1,30,33
Wall0,64.3438415527344,142,2,16,41
Wall1,113.203842163086,44,0,88,50
Wall1,135.76383972168,3,0,67,50
Wall1,138.94384765625,4,0,79,50
Wall1,140.983840942383,2,0,77,50
Wall2,73.6838455200195,76,0,66,0
