Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00361,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,30,3,True,0,0,0,47.83738,,0,0,0,0,0,0,,0,0,0,88,0
60.02165,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,30,3,True,1,1,0,44.97021,,0,0,0,0,0,0,,0,0,0,207,0
90.02338,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,6,120,7,True,1,3,0,48.40717,,0,0,0,0,0,0,,0,0,0,357,0
120.0243,,23,21,25,25,23,21,25,25,23,21,25,25,16,23,13,13,10,225,15,False,1,4,0,51.14999,,0,0,0,0,0,0,,9,51,0,568,2
150.0256,,23,20,25,25,23,20,25,25,23,20,25,25,17,25,13,13,14,280,19,False,2,5,0,56.00012,,0,0,0,0,0,0,,22,56,0,773,4
180.0263,,28,29,26,27,22,18,26,23,22,18,26,23,15,21,8,12,18,326,23,False,2,5,0,53.29845,,0,0,2,0,0,0,,23,101,0,1202,38
210.0437,,27,31,26,25,21,18,26,21,21,18,26,21,17,20,8,20,22,431,29,False,2,7,0,55.88818,,0,0,2,0,0,0,,24,101,0,1596,54
240.0447,,27,29,27,25,22,20,26,21,20,16,26,21,17,21,8,20,27,501,33,False,3,7,0,57.8353,,0,0,2,0,0,0,,56,151,0,1773,55
270.0455,,26,28,27,24,21,19,26,20,20,16,26,20,19,22,8,22,30,606,38,False,4,9,0,59.35686,,0,0,2,0,0,0,,91,151,0,1968,57
300.0477,,27,27,29,27,20,19,25,18,19,17,25,18,19,23,7,23,36,746,45,False,5,11,0,59.29859,,0,0,4,0,2,0,,108,151,0,2596,64
330.0654,,28,29,29,27,20,18,25,18,19,16,25,18,19,24,7,23,39,826,50,False,5,13,0,60.34863,,0,0,4,0,2,0,,128,151,0,2921,70
360.0836,,29,29,31,27,19,18,21,18,18,15,21,18,20,23,14,23,42,971,60,False,7,15,0,59.81937,,0,0,4,0,2,0,,130,151,0,3271,73
390.1181,,26,24,28,27,18,18,17,18,16,13,17,18,26,31,23,23,50,1051,64,False,8,18,0,60.64489,,0,0,4,0,2,0,,167,251,0,3844,103
420.1525,,26,24,28,25,18,18,17,17,17,13,17,23,26,31,23,20,52,1091,68,False,9,20,0,61.28235,,0,0,4,0,2,0,,182,321,0,4410,133
450.1708,,26,24,28,25,18,18,17,17,17,13,17,23,26,31,23,20,56,1141,70,False,10,22,0,62.02592,,0,0,4,0,2,0,,199,321,0,4775,134
480.1711,,21,23,17,25,14,18,10,17,15,16,10,23,35,30,49,20,62,1201,74,False,11,24,0,62.36138,,0,0,4,0,2,0,,228,321,0,5149,163
510.2065,,20,23,16,23,14,18,10,16,15,16,10,22,37,30,50,25,67,1326,79,False,11,27,0,63.28569,,0,0,4,0,2,0,,245,321,0,5510,170
540.2068,,20,22,16,23,14,17,10,16,16,18,10,22,36,29,50,25,68,1356,81,False,11,28,0,64.36027,,0,0,4,0,2,0,,260,321,0,5583,170
570.2416,,20,22,16,23,14,17,10,16,15,18,10,22,37,30,50,25,71,1381,82,False,13,30,0,64.31197,,0,0,4,0,2,0,,285,321,0,5859,174
600.2599,,20,22,16,23,14,17,10,16,15,18,10,22,37,30,50,25,71,1381,82,False,13,31,0,65.25526,,0,0,4,0,2,0,,292,321,0,5866,174
