ID,Time,Air,Tricks,Speed,Points
Ramp0,39.6497650146484,52,0,54,30
Ramp0,101.429763793945,59,1,54,10
Ramp0,109.709762573242,53,0,33,0
Ramp0,143.849761962891,312,2,1,0
Ramp0,301.829772949219,97,0,56,55
Ramp0,331.089752197266,52,0,58,30
Ramp0,462.529754638672,77,0,80,0
Ramp0,534.629760742188,131,0,24,30
Ramp1,161.109756469727,151,0,17,0
Ramp1,187.109756469727,135,0,72,0
Ramp1,286.249755859375,130,0,71,40
Ramp1,293.389770507813,0,0,64,0
Ramp1,298.289764404297,124,0,65,40
Ramp1,328.209747314453,137,2,66,60
Ramp1,421.809753417969,119,0,60,0
Ramp1,430.889770507813,145,0,65,0
Ramp1,475.809753417969,119,2,69,60
Ramp1,489.429748535156,134,0,69,40
Ramp2,349.529754638672,229,4,41,70
Ramp2,369.749755859375,318,7,8,32
Ramp2,452.329742431641,262,5,38,70
Ramp2,529.109741210938,156,0,37,40
Ramp2,596.389770507813,220,5,43,70
Speed0,48.9697647094727,0,0,66,0
Speed0,93.7097625732422,0,0,66,20
Speed0,166.909759521484,0,0,81,20
Speed0,171.949768066406,0,0,90,20
Speed0,177.109756469727,0,0,90,20
Speed0,212.789764404297,0,0,88,20
Speed0,221.069763183594,0,0,85,0
Speed0,251.129760742188,0,0,89,0
Speed0,338.769744873047,0,0,87,20
Speed0,371.909759521484,0,0,57,0
Speed0,389.969757080078,0,0,86,20
Speed0,394.889770507813,0,0,91,20
Speed0,441.349761962891,0,0,87,20
Speed0,443.189758300781,0,0,88,0
Speed0,444.929748535156,0,0,91,20
Speed0,459.449768066406,0,0,79,0
Speed0,553.9697265625,0,0,80,0
Speed0,566.98974609375,0,0,91,20
Speed0,572.209777832031,0,0,90,0
Speed1,518.649780273438,43,0,132,20
Speed2,402.749755859375,41,0,66,20
Speed2,504.689758300781,13,0,95,20
Spike0,61.4897651672363,60,1,58,25
Spike0,113.329765319824,53,0,49,15
Spike0,121.789764404297,46,0,57,0
Spike0,250.389755249023,62,0,84,15
Spike0,424.269744873047,63,0,68,15
Spike0,497.189758300781,60,0,82,0
Spike2,309.049774169922,34,0,79,15
Wall0,43.7297668457031,0,0,57,25
Wall0,72.8497619628906,0,0,56,25
Wall0,80.7097625732422,5,0,56,25
Wall0,86.1097640991211,0,0,57,0
Wall0,124.009765625,0,0,55,25
Wall0,163.129760742188,0,0,46,0
Wall0,215.789764404297,0,0,86,0
Wall0,247.809768676758,0,0,84,0
Wall0,398.409759521484,0,0,85,25
Wall0,425.529754638672,0,0,74,25
Wall0,547.169738769531,2,0,80,0
Wall1,149.769760131836,4,0,74,50
Wall1,203.749755859375,2,0,82,50
Wall1,208.809768676758,3,0,82,0
Wall1,212.409759521484,12,0,83,0
Wall1,219.049758911133,0,0,84,50
Wall1,275.589752197266,3,0,82,50
Wall1,277.629760742188,3,0,81,25
Wall1,315.209747314453,3,0,74,50
Wall1,384.349761962891,1,0,69,50
Wall1,400.329772949219,1,0,83,0
Wall1,411.369750976563,3,0,80,50
Wall1,436.449768066406,2,0,80,50
Wall1,441.129760742188,2,0,81,50
Wall1,471.229766845703,1,0,81,0
Wall1,539.329772949219,3,0,49,0
Wall1,548.98974609375,11,0,71,50
