ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,294,17,16,76.5999984741211,0.200000002980232,68.4000015258789,29.3999977111816,16.8299999237061,0.891949236392975,10.237322807312,3.09357142448425
Ramp1,250,9,25,132.714294433594,0,55.5714302062988,35.714282989502,1.87018489837646,0,20.7102088928223,6.08890008926392
Ramp2,140,11,24,176.777770996094,0.333333343267441,48.3333320617676,15.5555553436279,31.3498096466064,0.946470320224762,14.8389949798584,12.3513040542603
Speed0,140,11,58,37.1111106872559,0,74.4444427490234,15.5555553436279,104.96607208252,0,1.31282186508179,2.16067886352539
Speed1,90,5,22,51.5999984741211,0,131.199996948242,18,25.8614387512207,0,28.7063636779785,9.57673931121826
Speed2,100,4,21,53.5,0,133,50,4.5,0,10,10
Spike0,165,11,14,72.375,0,65.375,20.625,6.13057041168213,0,4.77090263366699,3.65166544914246
Spike1,60,4,21,58,0,77.6666641235352,20,2.16024684906006,0,1.92930567264557,7.07106781005859
Spike2,350,15,29,67.2222213745117,0,77.444450378418,38.8888893127441,4.93892526626587,0,9.65318584442139,3.51372814178467
Wall0,50,7,10,0.333333343267441,0,75.1666717529297,8.33333301544189,0.74535596370697,0,1.74493825435638,7.62513875961304
Wall1,225,11,29,7.33333349227905,0,72.1111145019531,25,14.7698154449463,0,6.90222501754761,8.99272632598877
Wall2,370,9,24,91.5714263916016,0,52.1428565979004,52.8571434020996,2.59952306747437,0,17.5941905975342,5.20858526229858
