ID,Time,Air,Tricks,Speed,Points
Ramp0,28.6656112670898,75,0,23,0
Ramp0,32.0856094360352,43,0,41,30
Ramp0,55.8056106567383,53,0,54,30
Ramp0,73.1256103515625,121,0,48,30
Ramp0,88.8256072998047,53,0,54,30
Ramp0,101.365608215332,68,0,74,0
Ramp0,126.00560760498,65,0,70,30
Ramp0,197.805603027344,30,0,81,30
Ramp0,257.145599365234,76,0,60,10
Ramp0,285.74560546875,98,0,57,30
Ramp0,291.905609130859,105,0,38,10
Ramp0,307.525604248047,0,0,71,0
Ramp0,550.2255859375,54,0,58,0
Ramp0,552.74560546875,57,0,59,30
Ramp1,245.545608520508,131,0,62,40
Ramp1,384.005615234375,127,0,67,30
Ramp1,531.785583496094,227,0,41,40
Ramp2,230.365600585938,202,2,48,40
Ramp2,294.805603027344,52,0,44,0
Ramp2,394.925598144531,253,0,49,20
Ramp2,401.925598144531,250,2,48,64
Ramp2,499.645599365234,128,0,58,0
Speed0,50.5656089782715,0,0,61,20
Speed0,79.4256057739258,0,0,65,20
Speed0,101.865608215332,0,0,76,0
Speed0,198.065612792969,0,0,87,0
Speed0,216.965606689453,0,0,89,0
Speed0,514.285583496094,0,0,57,20
Speed1,106.705612182617,54,0,149,20
Speed1,287.525604248047,58,1,66,30
Speed1,337.005615234375,51,0,138,0
Speed1,410.365600585938,281,0,129,105
Speed1,539.145568847656,240,1,93,72
Speed2,131.725601196289,52,0,126,40
Speed2,387.465606689453,62,0,151,75
Speed2,414.785614013672,22,0,109,40
Speed2,556.105590820313,32,0,110,40
Spike0,35.5056114196777,42,0,51,15
Spike0,43.8056106567383,43,1,56,25
Spike0,63.4456100463867,51,0,53,15
Spike0,84.0656127929688,55,0,69,15
Spike0,95.0856094360352,58,0,73,15
Spike0,114.585609436035,52,0,65,15
Spike0,221.145599365234,62,0,86,30
Spike1,180.325607299805,53,0,61,15
Spike1,328.425598144531,50,1,58,47
Spike1,366.045593261719,56,1,63,25
Spike1,516.885620117188,30,0,88,60
Spike2,162.265609741211,52,1,73,40
Spike2,176.565612792969,157,0,26,15
Spike2,237.005599975586,112,1,39,70
Spike2,373.725616455078,59,0,75,60
Spike2,404.085601806641,47,0,58,30
Spike2,509.065612792969,45,1,50,10
Spike2,520.405578613281,166,0,26,15
Spike2,574.425598144531,130,1,34,40
Wall0,40.1856117248535,0,0,56,25
Wall0,52.3456115722656,1,0,77,0
Wall0,68.2456130981445,1,0,56,25
Wall0,173.345611572266,2,0,80,25
Wall0,193.42561340332,0,0,74,0
Wall0,247.665603637695,0,0,75,25
Wall1,123.305610656738,1,0,70,50
Wall1,156.445602416992,1,0,76,50
Wall1,182.305603027344,29,0,52,0
Wall1,185.785614013672,2,0,65,50
Wall1,186.825607299805,0,0,73,0
Wall1,506.085601806641,72,0,54,0
Wall1,571.125610351563,3,0,64,0
Wall2,117.00560760498,61,0,70,0
Wall2,158.985610961914,58,0,63,0
Wall2,185.045608520508,57,0,61,75
Wall2,316.665618896484,88,0,77,75
Wall2,323.445617675781,56,0,53,0
Wall2,570.925598144531,73,0,65,75
