Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00289,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,3,60,3,True,0,0,0,54.9255,,0,0,0,0,0,0,,48,151,0,36,0
60.01858,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,7,150,8,True,0,2,0,58.34098,,0,0,0,0,0,0,,55,201,0,182,0
90.03478,,22,19,25,25,27,31,25,25,22,19,25,25,15,18,13,13,13,305,18,False,0,3,0,60.52804,,0,0,0,0,0,0,,85,251,0,360,0
120.0511,,28,26,34,25,26,30,21,25,20,16,21,25,12,14,9,13,20,485,32,False,0,5,0,64.85712,,0,0,0,0,0,0,,153,351,0,872,2
150.0845,,27,24,33,26,24,28,20,24,22,22,20,24,12,12,12,12,24,610,41,False,0,7,0,60.82735,,0,0,1,0,0,0,,153,351,0,1393,20
180.1002,,27,23,32,30,23,26,19,23,21,21,19,23,14,16,15,11,29,734,47,False,0,10,0,63.24087,,0,0,2,0,0,0,,184,351,0,1782,23
210.1328,,27,24,32,27,26,28,19,29,20,19,19,21,13,15,15,9,37,859,53,False,0,11,0,65.02559,,0,0,2,0,0,0,,303,591,0,2135,31
240.1488,,27,23,31,27,26,29,18,28,21,19,19,25,13,15,18,5,45,1044,63,False,0,15,0,68.14342,,0,0,2,0,0,0,,545,921,0,2517,31
270.1655,,25,23,30,24,26,30,20,27,19,18,17,22,16,15,19,13,56,1204,72,False,0,19,0,70.34889,,0,0,2,0,0,0,,751,1231,0,3029,34
300.1816,,25,22,28,27,27,30,24,26,19,18,16,22,15,16,18,12,61,1369,82,False,0,23,0,71.01708,,0,0,3,0,1,0,,792,1301,0,3727,87
330.2137,,24,22,27,24,27,31,25,23,21,18,15,29,15,15,19,10,66,1504,89,False,0,26,0,70.96789,,2,0,3,0,1,0,,937,1421,0,4354,124
360.214,,24,21,27,24,27,30,25,23,22,20,15,29,14,14,19,10,69,1539,91,False,1,28,0,71.01126,,2,0,3,0,1,0,,986,1471,0,4545,124
390.2297,,24,23,24,24,26,30,23,23,23,20,19,29,14,13,19,11,76,1764,104,False,2,30,0,71.18797,,2,0,3,0,1,0,,1069,1521,0,4945,130
420.2453,,24,23,24,24,25,30,23,22,22,19,19,28,15,14,19,12,82,1864,108,False,3,32,0,71.18961,,2,0,3,0,1,0,,1075,1521,0,5273,132
450.2616,,24,24,24,24,26,30,24,22,22,19,19,28,14,13,19,12,88,1904,110,False,4,34,1,70.73335,,2,0,3,0,1,0,,1180,1691,0,5863,157
480.2777,,23,23,23,24,27,34,25,22,21,18,18,28,14,12,20,12,91,2054,119,False,4,37,1,71.25645,,2,0,3,0,1,0,,1283,1811,0,6240,158
510.2939,,25,23,27,24,27,34,23,22,21,18,17,28,14,12,18,12,99,2304,140,False,5,39,1,71.03105,,2,0,3,0,1,0,,1284,1811,0,6756,163
540.3104,,25,23,27,26,27,34,24,22,21,18,17,27,14,12,18,11,103,2379,147,False,6,41,1,70.56325,,2,0,3,0,1,0,,1377,1881,0,7663,193
570.3435,,25,23,27,24,27,34,24,21,20,18,17,26,15,12,18,15,105,2484,151,False,7,42,1,70.79308,,2,0,4,0,2,0,,1381,1931,0,8085,194
600.3588,,25,23,27,24,26,34,24,20,21,18,17,28,14,12,18,14,107,2551,155,False,8,44,2,69.9546,,3,0,4,1,2,0,,1385,1931,0,8830,276
630.3683,,25,23,27,24,26,34,24,20,21,18,17,28,14,12,18,14,108,2551,155,False,8,44,2,69.95734,,3,0,4,1,2,0,,1385,1931,0,8830,276
