ID,Time,Air,Tricks,Speed,Points
Ramp0,64.5294570922852,53,0,54,30
Ramp0,78.4094543457031,73,0,56,30
Ramp0,117.149452209473,70,0,73,30
Ramp0,145.249450683594,73,0,67,0
Ramp0,237.049453735352,66,0,69,30
Ramp0,341.509460449219,72,0,78,30
Ramp0,505.989440917969,30,0,86,20
Ramp0,515.969421386719,95,0,113,30
Ramp0,583.309448242188,68,0,70,30
Ramp1,168.729446411133,70,0,50,0
Ramp1,180.629455566406,131,0,69,0
Ramp1,200.769454956055,155,0,75,40
Ramp1,288.449462890625,136,0,70,40
Ramp1,299.889465332031,189,1,13,40
Ramp1,391.629455566406,184,0,33,40
Ramp1,455.629455566406,123,0,66,40
Ramp1,494.549438476563,111,0,44,0
Ramp1,519.929443359375,58,0,45,0
Ramp1,556.549438476563,127,0,64,40
Ramp1,576.389465332031,297,0,26,40
Ramp1,596.509460449219,0,0,50,0
Ramp2,128.189453125,191,1,57,0
Ramp2,223.869445800781,236,3,46,62
Ramp2,434.409454345703,146,1,66,10
Ramp2,523.689453125,81,0,10,0
Speed0,24.2494564056396,0,0,66,20
Speed0,25.9894561767578,0,0,87,20
Speed0,27.4894561767578,0,0,90,0
Speed0,57.249454498291,0,0,66,20
Speed0,82.6294555664063,0,0,64,20
Speed0,102.209457397461,0,0,65,20
Speed0,119.349456787109,0,0,86,20
Speed0,202.849456787109,0,0,86,20
Speed0,330.449462890625,0,0,54,20
Speed0,377.489440917969,0,0,90,20
Speed0,499.66943359375,0,0,87,20
Speed0,510.789459228516,0,0,90,0
Speed0,513.609436035156,0,0,91,20
Speed0,589.269470214844,0,0,82,20
Speed0,593.809448242188,29,0,157,0
Speed1,186.369445800781,63,0,156,20
Speed1,338.849456787109,43,0,120,20
Speed1,401.389434814453,240,0,89,20
Speed1,408.729461669922,51,0,100,20
Speed1,502.709442138672,63,0,152,20
Speed2,419.549438476563,231,0,164,20
Speed2,569.929443359375,69,0,114,40
Spike0,95.1694564819336,59,0,58,15
Spike0,108.629455566406,60,0,81,15
Spike0,143.449447631836,68,0,76,0
Spike0,214.169448852539,56,0,82,15
Spike0,333.109436035156,68,0,88,15
Spike0,567.969421386719,51,0,35,15
Spike1,215.889450073242,69,0,103,15
Spike1,291.249450683594,113,1,16,12
Wall0,41.2294578552246,1,0,57,25
Wall0,61.2894554138184,0,0,65,25
Wall0,71.9694519042969,2,0,54,0
Wall0,86.5494537353516,2,0,65,0
Wall0,88.8694534301758,0,0,60,25
Wall0,132.529449462891,0,0,72,25
Wall0,155.049453735352,0,0,32,0
Wall0,173.069458007813,1,0,73,0
Wall0,183.949447631836,2,0,79,25
Wall0,210.769454956055,2,0,79,25
Wall0,232.869445800781,0,0,63,25
Wall0,460.089447021484,2,0,80,25
Wall0,518.369445800781,0,0,58,25
Wall0,526.989440917969,0,0,53,25
Wall1,379.349456787109,2,0,85,0
Wall1,485.649444580078,2,0,79,50
Wall1,562.489440917969,19,0,36,50
Wall2,138.569458007813,106,0,72,75
Wall2,150.36946105957,107,0,20,0
Wall2,231.649444580078,44,0,45,75
Wall2,258.129455566406,274,1,34,109
