Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.01876,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,25,1,True,0,1,0,47.96495,,0,0,0,0,0,0,,0,0,0,109,0
60.05227,,23,21,25,25,28,35,25,25,23,21,25,25,11,9,13,13,9,210,13,False,0,1,0,57.98413,,0,0,0,0,0,0,,61,251,0,216,0
90.06838,,24,26,22,25,27,31,22,25,23,17,31,25,12,12,10,13,16,365,24,False,1,2,0,64.0402,,0,0,0,0,0,0,,165,401,0,463,1
120.1013,,24,27,22,21,26,30,24,22,23,18,30,22,14,11,10,21,23,505,32,False,1,8,0,63.31316,,1,0,0,0,0,0,,195,521,0,1276,44
150.1168,,24,28,21,21,27,30,29,22,22,17,28,22,13,11,9,21,26,585,39,False,2,11,0,65.65884,,1,0,0,0,0,0,,256,591,0,1593,44
180.1328,,24,28,17,25,27,30,31,20,21,17,30,17,13,11,8,23,32,825,51,False,2,16,0,65.8252,,1,0,0,0,0,0,,325,661,0,2320,60
210.1657,,26,30,19,30,25,30,31,12,22,17,29,23,13,10,7,22,40,1015,67,False,2,20,0,64.25807,,1,0,1,0,1,0,,325,675,0,3122,63
240.1826,,25,32,16,24,25,30,27,18,24,16,31,25,13,8,12,18,53,1435,89,False,2,24,0,66.70213,,1,0,1,0,1,0,,496,901,0,3648,79
270.1981,,24,31,16,22,25,30,27,18,25,18,31,28,12,7,12,17,63,1720,107,False,2,27,0,67.06207,,1,0,1,0,1,0,,675,1181,0,4323,92
300.2307,,25,32,20,22,24,29,25,18,25,18,30,28,12,7,12,18,72,1995,126,False,2,28,0,67.42011,,1,0,1,0,1,0,,696,1181,0,4956,95
330.2477,,26,32,20,24,24,29,25,17,25,18,30,27,12,7,12,17,76,2065,132,False,3,29,0,67.08904,,1,0,1,0,1,0,,737,1231,0,5237,104
360.2798,,25,32,18,24,23,30,22,17,24,18,28,27,14,7,18,18,81,2170,137,False,4,34,0,67.79189,,1,0,1,0,1,0,,774,1281,0,5751,104
390.2961,,25,32,20,24,23,30,22,17,24,18,28,27,14,7,17,18,86,2275,146,False,5,38,0,67.39057,,1,0,1,0,1,0,,790,1371,0,6483,106
420.329,,27,33,22,24,23,30,21,17,24,17,27,27,13,6,16,18,92,2450,161,False,5,42,0,68.24869,,1,0,1,0,1,0,,882,1491,0,7182,108
450.3291,,27,32,22,26,21,29,19,17,23,17,25,26,15,8,20,17,101,2645,178,False,5,46,0,67.45883,,1,0,1,0,1,0,,915,1491,0,8041,112
480.3449,,27,33,24,24,23,28,18,21,22,17,25,24,15,8,19,16,109,2820,190,False,5,51,0,67.94675,,1,0,1,0,1,0,,982,1581,0,8769,114
510.3609,,27,32,25,23,23,29,20,21,22,17,23,26,14,8,17,16,116,3070,204,False,5,57,0,67.92575,,1,0,1,0,1,0,,1120,1701,0,9473,121
540.3776,,27,33,25,23,24,29,22,20,22,17,23,26,13,7,16,16,124,3225,214,False,6,63,0,68.69411,,1,0,1,0,1,0,,1243,1854,0,10070,121
570.4104,,27,33,25,23,24,29,22,22,22,17,23,26,13,7,16,15,129,3340,222,False,7,64,0,68.90472,,1,0,1,0,1,0,,1361,2001,0,10545,121
600.4257,,27,32,24,24,24,29,23,22,22,18,23,26,13,7,16,15,134,3440,230,False,7,67,0,68.41251,,1,0,1,0,1,0,,1385,2071,0,11290,122
