ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,645,17,32,81.2941207885742,0,67.1764678955078,37.9411811828613,4.15058708190918,0,2.48360657691956,2.55539321899414
Ramp1,360,13,24,116.583320617676,0,58.1666641235352,30,4.84887456893921,0,5.03961944580078,6.37954998016357
Ramp2,350,13,24,190.399993896484,0.200000002980232,36.7999992370605,35,7.84099292755127,0.893345892429352,1.82298386096954,5.16094207763672
Speed0,280,19,29,0,0,78.9473648071289,14.7368421554565,0,0,2.44940304756165,1.85819363594055
Speed1,160,8,23,59.5714302062988,0,127.142860412598,22.8571434020996,3.4876561164856,0,3.77582550048828,3.93351793289185
Speed2,80,10,22,51.5999984741211,0,117,16,8.23288440704346,0,17.1747074127197,12.2020540237427
Spike0,45,4,18,48.5,0,67.5,11.25,1.472243309021,0,18.3227977752686,3.16082286834717
Spike1,160,10,23,58.7000007629395,0,73.3000030517578,16,9.6821403503418,0,17.1418857574463,2.38954329490662
Spike2,305,13,26,48.6666679382324,0,90.1111068725586,33.8888893127441,4.83487510681152,0,11.0690937042236,4.63467407226563
Wall0,100,6,19,0.5,0,70.1666641235352,16.6666660308838,1.01929354667664,0,4.05140590667725,4.5390305519104
Wall1,100,10,28,22,0,76.8333358764648,16.6666660308838,24.6926574707031,0,3.1876437664032,8.02345180511475
Wall2,705,11,27,99.8000030517578,0,64.5999984741211,70.5,13.3929309844971,0,7.09900903701782,23.5611019134521
