ID,Time,Air,Tricks,Speed,Points
Ramp0,43.8342628479004,56,0,58,30
Ramp0,49.294261932373,51,0,52,30
Ramp0,62.3342628479004,73,0,78,30
Ramp0,103.37425994873,110,0,65,30
Ramp0,124.1142578125,58,0,79,30
Ramp0,200.214263916016,59,0,59,30
Ramp0,208.834259033203,69,0,65,30
Ramp0,234.834259033203,85,0,72,135
Ramp0,263.214263916016,72,0,131,50
Ramp0,293.694244384766,198,0,46,50
Ramp0,297.294250488281,57,0,58,30
Ramp0,300.474243164063,66,0,66,0
Ramp0,398.154266357422,49,0,84,30
Ramp0,406.414245605469,191,0,28,50
Ramp0,433.494262695313,53,0,54,30
Ramp0,458.554260253906,68,0,72,30
Ramp0,512.834228515625,67,0,75,30
Ramp1,174.094253540039,116,0,64,0
Ramp1,181.79426574707,76,0,34,0
Ramp1,285.914245605469,128,0,63,40
Ramp1,378.394256591797,111,0,54,40
Ramp1,414.554260253906,219,0,131,60
Ramp1,429.774261474609,174,0,13,70
Ramp1,450.734252929688,130,0,53,40
Ramp1,452.034240722656,0,0,64,0
Ramp1,472.834259033203,130,0,66,20
Ramp1,482.314239501953,108,0,52,0
Ramp1,487.534240722656,105,0,62,40
Ramp1,497.254241943359,102,0,42,50
Ramp2,95.8742599487305,325,1,2,30
Ramp2,153.234268188477,173,0,40,50
Ramp2,188.554260253906,10,0,53,0
Ramp2,205.514266967773,190,1,40,50
Ramp2,245.1142578125,214,0,45,30
Ramp2,308.534271240234,177,0,21,50
Ramp2,370.094268798828,207,0,43,30
Ramp2,440.694244384766,214,0,42,30
Ramp2,558.494262695313,225,0,46,30
Ramp2,594.694274902344,169,0,36,50
Speed0,32.0142631530762,0,0,66,20
Speed0,38.9342613220215,0,0,66,20
Speed0,53.7142639160156,0,0,65,20
Speed0,55.694263458252,0,0,85,20
Speed0,58.8342628479004,0,0,77,20
Speed0,64.6742630004883,0,0,83,0
Speed0,66.4542617797852,0,0,92,20
Speed0,68.0742645263672,0,0,91,20
Speed0,112.03426361084,0,0,55,0
Speed0,210.014266967773,0,0,79,20
Speed0,230.014251708984,0,0,86,20
Speed0,235.174255371094,0,0,75,0
Speed0,245.79426574707,0,0,63,0
Speed0,266.774261474609,0,0,88,20
Speed0,325.374267578125,0,0,90,20
Speed0,343.534271240234,0,0,76,0
Speed0,419.054260253906,0,0,90,20
Speed0,491.274261474609,0,0,86,20
Speed0,527.074279785156,0,0,87,20
Speed1,99.1342620849609,40,0,91,20
Speed1,106.134262084961,50,0,63,0
Speed1,128.054260253906,56,0,146,20
Speed1,163.634262084961,66,0,148,20
Speed1,506.654266357422,75,0,155,20
Speed1,539.494262695313,63,0,156,60
Speed1,598.874267578125,67,0,131,20
Speed2,191.954254150391,16,0,36,0
Speed2,214.6142578125,43,0,92,20
Speed2,249.79426574707,67,0,150,0
Speed2,463.794250488281,65,0,157,20
Speed2,561.994262695313,67,0,150,40
Spike0,109.234260559082,49,0,64,15
Spike0,247.634262084961,52,0,100,15
Spike0,446.554260253906,45,0,70,0
Spike0,596.434265136719,48,0,36,15
Spike1,88.0342636108398,52,0,84,30
Spike1,120.794258117676,46,0,77,0
Spike1,171.034255981445,54,0,82,15
Spike1,218.374252319336,110,0,70,55
Spike1,273.194244384766,56,0,84,15
Spike1,340.414245605469,53,0,75,15
Spike1,360.434265136719,43,0,84,15
Spike1,455.014251708984,44,0,74,0
Spike1,517.754272460938,42,0,81,0
Spike1,586.434265136719,87,0,22,15
Spike2,159.574264526367,40,0,64,0
Spike2,196.094253540039,49,0,71,30
Spike2,211.934265136719,60,0,154,65
Spike2,269.174255371094,65,0,95,60
Spike2,362.754241943359,51,0,82,15
Spike2,504.894256591797,35,0,66,45
Spike2,523.13427734375,43,0,80,30
Spike2,534.63427734375,59,0,78,15
Spike2,564.554260253906,36,0,121,45
Wall0,26.8542633056641,0,0,56,25
Wall0,36.0942649841309,0,0,62,25
Wall0,69.754264831543,1,0,85,25
Wall0,298.554260253906,0,0,69,0
Wall0,327.474243164063,0,0,86,0
Wall0,444.454254150391,2,0,63,25
Wall1,227.714263916016,2,0,77,50
Wall1,275.374267578125,2,0,81,50
Wall1,304.514251708984,0,0,63,0
Wall1,343.214263916016,48,0,71,0
Wall1,420.334259033203,3,0,87,0
Wall1,422.374267578125,77,0,82,0
Wall2,116.834259033203,98,0,78,75
Wall2,157.854263305664,75,0,63,75
Wall2,178.674255371094,58,0,49,75
Wall2,223.874252319336,92,0,62,75
Wall2,254.954254150391,166,0,60,75
Wall2,281.374267578125,118,0,72,75
Wall2,332.294250488281,92,0,84,75
Wall2,478.714263916016,196,0,58,105
Wall2,501.274261474609,41,0,36,75
Wall2,532.894226074219,62,0,84,0
