ID,Time,Air,Tricks,Speed,Points
Ramp0,33.6147804260254,66,0,69,30
Ramp0,41.574779510498,58,0,60,30
Ramp0,46.1347770690918,68,0,72,30
Ramp0,57.574779510498,73,0,77,30
Ramp0,110.874778747559,70,0,60,30
Ramp0,132.374771118164,70,0,75,30
Ramp0,223.47477722168,93,0,72,60
Ramp0,281.794769287109,328,0,8,30
Ramp0,286.094787597656,51,0,52,30
Ramp0,289.494781494141,61,0,64,30
Ramp0,317.734771728516,69,0,74,30
Ramp0,369.534759521484,55,0,63,30
Ramp0,421.914764404297,101,0,128,0
Ramp0,495.594757080078,79,0,67,0
Ramp0,525.394775390625,65,0,67,30
Ramp0,560.15478515625,68,0,74,30
Ramp0,561.054748535156,39,0,64,0
Ramp1,74.394775390625,143,0,64,40
Ramp1,200.734771728516,112,0,54,30
Ramp1,239.554779052734,115,0,110,0
Ramp1,246.854766845703,0,0,74,0
Ramp1,271.334777832031,118,0,60,40
Ramp1,378.414764404297,122,0,65,40
Ramp1,384.614776611328,128,0,59,40
Ramp1,456.694763183594,151,0,66,40
Ramp1,466.234771728516,110,0,53,40
Ramp1,471.374755859375,120,0,33,40
Ramp1,482.694763183594,130,0,70,40
Ramp1,522.534790039063,133,0,69,40
Ramp2,172.014770507813,181,0,33,0
Ramp2,206.31477355957,185,1,25,58
Ramp2,233.254776000977,216,0,41,20
Ramp2,263.094787597656,59,0,63,0
Ramp2,296.65478515625,206,1,41,42
Ramp2,350.754760742188,186,0,43,50
Ramp2,357.314758300781,229,1,16,62
Ramp2,367.114776611328,0,0,66,0
Ramp2,404.114776611328,221,3,45,66
Ramp2,569.094787597656,230,0,6,30
Speed0,30.1747779846191,0,0,66,20
Speed0,36.7947769165039,0,0,67,20
Speed0,42.8947792053223,0,0,66,20
Speed0,49.2147789001465,0,0,67,20
Speed0,51.1747779846191,0,0,84,20
Speed0,54.0947799682617,0,0,90,20
Speed0,61.8947792053223,0,0,87,20
Speed0,97.9347763061523,0,0,87,20
Speed0,138.47477722168,0,0,83,20
Speed0,139.414779663086,0,0,95,0
Speed0,218.514770507813,0,0,70,20
Speed0,235.514770507813,0,0,74,20
Speed0,249.934768676758,0,0,82,20
Speed0,250.654769897461,0,0,93,20
Speed0,309.934783935547,0,0,86,20
Speed0,329.534759521484,0,0,90,20
Speed0,363.274780273438,0,0,86,20
Speed0,476.014770507813,0,0,85,20
Speed0,510.654754638672,0,0,88,20
Speed1,242.854766845703,37,0,128,20
Speed1,301.834777832031,59,0,136,20
Speed1,319.65478515625,75,0,160,0
Speed1,407.354766845703,56,0,125,0
Speed1,410.074768066406,56,0,152,20
Speed1,488.634765625,60,0,149,30
Speed2,186.31477355957,516,1,47,55
Speed2,419.134765625,14,0,94,20
Speed2,577.814758300781,50,0,137,40
Speed2,595.61474609375,61,0,143,115
Spike0,75.9747772216797,61,0,62,30
Spike0,87.1947784423828,40,0,79,15
Spike0,127.23477935791,48,0,83,15
Spike0,189.834777832031,48,0,67,0
Spike0,346.65478515625,45,0,76,15
Spike0,451.234771728516,57,0,84,15
Spike1,65.1547775268555,64,0,87,15
Spike1,81.4747772216797,52,0,73,15
Spike1,107.794776916504,69,0,80,15
Spike1,210.194778442383,39,0,64,15
Spike1,257.114776611328,54,0,84,15
Spike1,323.614776611328,51,0,84,15
Spike1,344.554779052734,44,0,75,0
Spike1,500.414764404297,36,0,79,15
Spike1,573.354736328125,35,0,63,15
Spike2,68.6347808837891,68,0,74,60
Spike2,78.6547775268555,57,0,68,45
Spike2,144.434768676758,58,0,85,0
Spike2,253.054779052734,64,0,95,45
Spike2,314.034759521484,67,0,86,45
Spike2,427.734771728516,61,0,82,30
Spike2,506.574768066406,59,0,72,45
Spike2,518.174743652344,60,0,83,60
Spike2,529.174743652344,52,0,78,45
Wall0,25.0347785949707,0,0,57,25
Wall0,147.47477722168,2,0,80,25
Wall0,226.81477355957,3,0,72,25
Wall0,259.874786376953,56,0,82,0
Wall0,265.65478515625,0,0,63,25
Wall0,287.634765625,2,0,67,25
Wall1,135.894775390625,55,0,71,0
Wall1,139.754776000977,1,0,97,50
Wall1,216.454772949219,58,0,61,0
Wall1,298.814758300781,0,0,54,50
Wall1,336.594757080078,297,0,37,50
Wall1,373.814758300781,0,0,64,50
Wall1,393.714782714844,16,0,78,100
Wall1,502.074768066406,1,0,77,50
Wall1,506.874755859375,0,0,70,0
Wall2,102.294776916504,75,0,56,75
Wall2,213.674774169922,139,0,42,75
Wall2,305.114776611328,102,0,78,75
Wall2,365.794769287109,76,0,80,75
Wall2,415.594757080078,60,0,78,0
Wall2,462.754760742188,216,0,46,165
