Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.01932,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,45,2,True,0,1,0,51.49807,,0,0,0,0,0,0,,0,1,0,109,0
60.05222,,27,31,25,25,27,31,25,25,22,18,25,25,10,6,13,13,11,265,19,False,0,1,0,63.92977,,0,0,0,0,0,0,,87,301,0,424,12
90.06845,,25,28,26,22,25,30,21,22,28,24,30,33,7,4,9,10,20,520,37,False,0,9,0,68.1753,,0,0,0,0,0,0,,160,351,0,1159,16
120.0842,,25,29,25,20,24,30,21,20,28,23,32,31,9,4,9,15,24,660,45,False,1,13,0,68.78799,,0,0,0,0,0,0,,195,401,0,1575,18
150.1174,,22,27,18,20,22,29,15,20,25,22,24,31,17,8,28,15,33,815,54,False,2,18,0,71.13332,,0,0,0,0,0,0,,298,501,0,2066,19
180.1337,,21,27,18,17,22,29,15,21,25,22,24,32,17,8,28,16,37,870,58,False,2,21,0,70.71596,,0,0,0,0,0,0,,314,591,0,2619,21
210.149,,22,26,20,20,26,28,15,36,24,24,23,23,14,8,28,8,42,988,68,False,2,24,0,69.30206,,2,0,0,0,0,0,,314,591,0,3548,34
240.149,,22,26,20,20,25,28,13,34,22,22,22,22,17,10,31,10,52,1208,81,False,2,29,0,69.59432,,2,0,0,0,0,0,,409,691,0,4421,54
270.1654,,20,20,19,20,23,23,15,31,22,17,23,26,22,26,29,8,62,1393,93,False,2,35,0,70.7354,,2,0,0,0,0,0,,586,861,0,4978,77
300.1807,,23,23,21,23,23,23,15,30,21,17,23,25,19,24,26,8,70,1600,108,False,2,36,0,69.0961,,3,0,0,1,0,0,,592,861,0,5708,84
330.2134,,22,23,20,22,24,23,19,28,21,17,23,25,19,23,24,10,78,1825,121,False,2,42,0,70.69156,,3,0,0,1,0,0,,771,1091,0,6328,85
360.2305,,20,23,15,24,21,23,14,28,19,17,18,25,25,23,40,10,85,2002,134,False,2,45,0,69.5267,,4,0,0,2,0,0,,786,1101,0,7187,94
390.2635,,21,23,17,24,21,23,14,27,20,17,18,24,24,22,36,11,92,2257,151,False,2,46,0,68.95305,,4,0,0,2,0,0,,808,1151,0,7781,99
420.2796,,22,23,17,27,20,23,16,22,20,17,18,25,24,22,35,12,100,2463,160,False,2,52,0,69.65752,,7,0,0,5,0,0,,963,1360,0,8492,101
450.2952,,22,23,17,26,20,23,16,22,20,17,18,27,24,22,35,12,104,2563,168,False,3,56,0,70.15594,,7,0,0,5,0,0,,1048,1381,0,8991,119
480.2953,,23,23,20,26,20,23,15,21,20,18,17,26,23,22,33,14,113,2898,193,False,3,57,0,69.94448,,7,0,0,5,0,0,,1108,1431,0,9722,133
510.3108,,23,23,21,25,20,23,17,21,21,18,19,27,22,22,29,13,120,3048,202,False,3,63,0,70.37466,,7,0,0,5,0,0,,1188,1501,0,10347,137
540.327,,23,24,22,25,20,24,17,20,21,18,19,28,21,21,29,13,127,3273,220,False,4,66,0,70.2848,,7,0,0,5,0,0,,1254,1551,0,11017,139
570.3433,,24,24,22,26,20,23,17,20,21,17,19,28,21,21,29,12,132,3333,226,False,4,70,0,70.32542,,7,0,0,5,0,0,,1292,1551,0,11600,147
600.3597,,23,24,22,25,21,23,17,23,21,17,19,27,21,21,29,12,137,3538,237,False,5,74,0,70.7838,,7,0,0,5,0,0,,1427,1731,0,12111,156
630.3655,,23,24,22,25,21,23,17,23,21,17,19,27,21,21,29,12,137,3538,237,False,5,74,0,70.783,,7,0,0,5,0,0,,1427,1731,0,12143,156
