ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,212,5,32,89.8000030517578,1.60000002384186,60.2000007629395,42.4000015258789,18.6754455566406,1.08284592628479,3.44587898254395,4.01225852966309
Ramp1,80,2,30,149,1.5,48.5,40,34,0.5,3.5,0
Ramp2,0,0,25,0,0,0,0,0,0,0,0
Speed0,100,5,24,0,0,76.5999984741211,20,0,0,3.86681294441223,0
Speed1,84,3,39,175.66667175293,1.66666662693024,89,28,66.2084197998047,1.24721908569336,17.068489074707,8.56348896026611
Speed2,0,0,25,0,0,0,0,0,0,0,0
Spike0,157,5,31,59.4000015258789,1,71.8000030517578,31.3999996185303,1.37122452259064,0,4.0948543548584,3.70378684997559
Spike1,0,0,14,0,0,0,0,0,0,0,0
Spike2,0,0,25,0,0,0,0,0,0,0,0
Wall0,75,3,10,1,0,55.3333320617676,25,0.912870943546295,0,1.31233501434326,0
Wall1,0,0,14,0,0,0,0,0,0,0,0
Wall2,0,0,25,0,0,0,0,0,0,0,0
