ID,Time,Air,Tricks,Speed,Points
Ramp0,49.2607269287109,120,2,50,44
Ramp0,64.0407257080078,44,0,44,30
Ramp0,74.5007247924805,50,0,52,30
Ramp0,77.6607284545898,61,1,63,42
Ramp0,91.8007278442383,139,1,74,42
Ramp0,275.620727539063,69,1,80,40
Ramp0,343.24072265625,151,2,70,50
Ramp1,121.680725097656,223,1,17,40
Ramp1,143.620727539063,154,1,67,52
Ramp1,253.260726928711,267,1,5,40
Ramp1,300.920715332031,144,1,88,52
Ramp1,385.400726318359,111,0,35,0
Ramp1,410.600708007813,109,1,59,52
Ramp2,108.00072479248,348,7,4,28
Ramp2,134.580718994141,196,2,43,54
Ramp2,189.720718383789,188,3,31,18
Ramp2,290.900726318359,315,5,66,70
Ramp2,312.120727539063,87,0,35,0
Ramp2,381.900726318359,0,0,44,0
Ramp2,391.620727539063,122,1,55,0
Ramp2,396.260711669922,131,1,16,2
Ramp2,507.520721435547,308,3,10,44
Speed0,23.4407291412354,0,0,66,20
Speed0,26.6807289123535,0,0,86,0
Speed0,34.8407287597656,204,0,44,0
Speed0,37.0007286071777,0,0,61,20
Speed0,38.7407302856445,0,0,87,20
Speed0,282.500732421875,0,0,76,20
Speed0,297.280731201172,0,0,80,20
Speed0,304.24072265625,0,0,87,0
Speed0,327.920715332031,0,0,67,20
Speed0,330.480712890625,0,0,90,20
Speed0,333.700714111328,0,0,90,0
Speed0,344.940734863281,0,0,69,0
Speed0,346.600708007813,0,0,91,20
Speed0,372.660736083984,0,0,83,20
Speed1,457.600708007813,57,0,149,0
Speed1,586.300720214844,282,1,148,40
Spike0,26.1807289123535,66,0,87,15
Spike0,54.2807273864746,51,1,53,25
Spike0,59.6807289123535,53,1,43,40
Spike0,178.820724487305,66,0,66,15
Spike0,201.000732421875,58,0,71,15
Spike0,225.260726928711,64,0,82,15
Spike0,273.540710449219,58,0,78,15
Spike0,324.460723876953,111,0,16,0
Spike0,378.680725097656,44,1,75,25
Spike0,496.420715332031,44,0,79,0
Spike1,172.680725097656,64,1,83,40
Spike1,221.900726318359,60,0,84,30
Spike1,519.400695800781,59,0,67,30
Spike2,93.7207260131836,49,0,73,45
Spike2,205.400726318359,63,1,77,25
Spike2,307.380737304688,70,1,86,55
Spike2,320.24072265625,50,1,77,40
Spike2,338.780731201172,57,0,84,30
Spike2,376.280731201172,57,1,97,25
Spike2,515.940734863281,48,0,78,30
Wall0,68.2607269287109,57,0,46,0
Wall0,84.1607284545898,0,0,83,0
Wall0,86.2007293701172,0,0,84,25
Wall0,110.66072845459,0,0,58,0
Wall0,123.320724487305,2,0,52,25
Wall0,225.880722045898,2,0,80,25
Wall0,347.900726318359,0,0,88,25
Wall0,366.960723876953,157,0,36,25
Wall0,370.700714111328,0,0,66,25
Wall0,452.000732421875,0,0,79,25
Wall0,560.300720214844,3,0,77,25
Wall1,97.5807266235352,5,0,74,50
Wall1,128.700729370117,0,0,71,0
Wall1,182.780731201172,74,2,70,86
Wall1,222.400726318359,2,0,80,0
Wall1,295.920715332031,0,0,64,50
Wall1,494.960723876953,40,0,79,0
Wall1,544.120727539063,15,0,80,50
Wall1,590.100708007813,1,0,65,50
Wall1,598.460693359375,74,0,70,25
Wall2,126.900726318359,115,0,56,75
Wall2,196.220718383789,78,0,63,75
Wall2,401.680725097656,89,0,58,0
Wall2,455.300720214844,73,0,82,150
