ID,Time,Air,Tricks,Speed,Points
Ramp0,60.9249572753906,24,0,47,0
Ramp0,97.2249603271484,55,0,50,0
Ramp0,113.504959106445,175,0,3,20
Ramp0,150.684951782227,145,1,12,4
Ramp0,253.344955444336,77,0,74,0
Ramp0,303.524963378906,84,0,69,30
Ramp0,321.544952392578,44,0,64,0
Ramp0,398.444946289063,70,0,75,30
Ramp1,217.424957275391,107,0,63,40
Ramp1,265.724945068359,45,0,65,0
Ramp1,382.404937744141,112,0,57,40
Ramp1,440.184936523438,146,0,68,30
Ramp2,311.224945068359,247,1,28,20
Ramp2,359.224945068359,142,0,25,30
Ramp2,444.784942626953,0,0,44,0
Ramp2,471.824951171875,0,0,82,0
Ramp2,497.56494140625,227,1,43,30
Ramp2,504.324951171875,131,0,52,0
Ramp2,595.364929199219,133,1,30,10
Speed0,29.8049583435059,0,0,66,20
Speed0,69.8849563598633,0,0,60,20
Speed0,100.804954528809,0,0,57,0
Speed0,157.164962768555,0,0,60,20
Speed0,159.124954223633,0,0,84,20
Speed0,176.944961547852,0,0,65,20
Speed0,180.464950561523,0,0,90,20
Speed0,183.90495300293,0,0,88,0
Speed0,251.004959106445,0,0,64,0
Speed0,360.464965820313,0,0,54,20
Speed0,465.884948730469,2,0,85,0
Speed0,577.864929199219,0,0,81,20
Speed1,205.264953613281,35,0,120,0
Speed1,248.264953613281,39,0,15,0
Speed1,390.144958496094,16,0,91,20
Speed1,407.224945068359,50,0,147,0
Spike0,54.024959564209,42,0,43,0
Spike0,56.904956817627,47,0,49,15
Spike0,137.324951171875,70,0,45,30
Spike0,144.644958496094,28,0,44,15
Spike0,172.484954833984,46,0,55,30
Spike0,224.664947509766,126,0,24,15
Spike1,350.164947509766,52,0,55,15
Spike2,262.164947509766,57,0,47,45
Spike2,329.804962158203,71,0,76,15
Spike2,341.764953613281,54,0,82,30
Spike2,365.56494140625,66,0,78,45
Spike2,398.944946289063,15,0,71,0
Spike2,471.06494140625,58,0,85,45
Wall0,107.804954528809,1,0,55,25
Wall0,178.664962768555,0,0,84,0
Wall0,589.344970703125,91,0,12,0
Wall1,206.684951782227,2,0,86,0
Wall1,209.024948120117,0,0,84,0
Wall1,212.24494934082,37,0,67,50
Wall1,243.704956054688,74,0,28,15
Wall1,385.504943847656,73,0,69,0
Wall1,465.644958496094,28,0,81,0
Wall1,471.684936523438,0,0,83,0
Wall1,538.724975585938,36,0,58,25
Wall1,585.384948730469,13,0,74,50
Wall2,583.324951171875,40,0,77,125
