Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.02144,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,20,1,True,0,0,0,51.52426,,0,0,0,0,0,0,,8,51,0,36,0
60.03982,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,6,75,5,True,1,6,0,54.61959,,0,0,0,0,0,0,,14,101,0,529,0
90.05759,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,6,75,5,True,1,9,0,52.93435,,0,0,0,0,0,0,,14,101,0,714,0
120.0586,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,12,160,10,True,1,12,0,55.49407,,0,0,0,0,0,0,,54,251,0,1000,0
150.0775,,19,14,25,25,22,21,25,25,23,21,25,25,22,31,13,13,17,240,14,False,1,16,0,58.35193,,0,0,0,0,0,0,,94,351,0,1292,0
180.0782,,19,15,25,21,24,23,25,26,23,22,25,26,20,27,13,14,21,260,15,False,2,18,0,60.21743,,0,0,0,0,0,0,,135,401,0,1590,6
210.0795,,15,12,16,21,19,18,16,26,20,20,16,26,33,37,39,14,26,290,17,False,3,23,0,61.84675,,0,0,0,0,0,0,,170,401,0,2029,9
240.0971,,14,11,14,21,21,19,22,26,19,19,14,26,32,36,36,14,30,365,21,False,4,27,0,63.53033,,0,0,0,0,0,0,,292,568,0,2363,9
270.0991,,16,14,14,24,21,19,22,25,18,19,14,25,31,34,36,13,35,440,27,False,4,27,0,63.35325,,0,0,0,0,0,0,,323,621,0,2574,17
300.1168,,17,14,14,26,20,19,22,21,20,19,14,31,29,34,36,9,37,512,32,False,4,32,0,63.96964,,1,0,0,1,0,0,,344,621,0,3171,17
330.1187,,17,15,14,26,20,19,22,21,20,19,14,31,29,34,36,9,39,542,35,False,5,34,0,64.38776,,1,0,0,1,0,0,,373,621,0,3618,21
360.1534,,18,15,14,29,20,19,22,21,20,19,14,31,28,34,36,5,41,542,35,False,6,35,0,62.892,,1,0,0,1,0,0,,411,671,0,3826,30
390.1715,,17,15,13,28,20,19,22,18,20,18,15,28,29,33,37,12,47,657,42,False,6,36,0,63.39796,,1,0,0,1,0,0,,428,721,0,4416,35
420.1726,,19,15,20,28,19,19,20,18,19,18,13,28,28,33,32,12,50,657,42,False,6,37,0,60.95421,,1,0,0,1,0,0,,428,721,0,4747,55
450.1903,,21,16,21,29,19,19,19,19,19,18,16,25,27,33,31,12,58,852,57,False,6,41,0,60.11153,,1,0,1,1,0,0,,493,811,0,5393,66
480.2084,,20,17,18,29,19,19,17,19,18,18,14,25,29,32,37,12,62,932,63,False,7,43,0,60.42549,,1,0,1,1,0,0,,543,825,0,5698,79
510.2104,,20,17,18,30,19,19,17,19,18,18,14,25,29,32,37,12,63,932,63,False,7,43,0,58.73137,,1,0,1,1,0,0,,547,861,0,5871,85
540.212,,20,17,18,26,21,19,17,29,17,18,14,22,28,32,37,9,66,1002,68,False,8,45,0,59.22409,,1,0,1,1,0,0,,666,951,0,6474,97
570.214,,20,17,18,27,21,21,17,29,17,17,14,22,27,31,37,9,70,1022,69,False,8,48,0,58.7431,,1,0,1,1,0,0,,729,1090,0,6925,99
600.2153,,20,17,18,27,21,21,16,27,18,17,17,21,27,31,35,10,76,1057,71,False,8,51,0,59.5175,,1,0,1,1,0,0,,813,1241,0,7427,107
