Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00484,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,20,1,True,0,2,0,53.293,,0,0,0,0,0,0,,9,51,0,147,0
60.02228,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,5,35,2,True,0,7,0,57.5698,,0,0,0,0,0,0,,24,101,0,604,0
90.04076,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,9,65,5,True,0,12,0,58.17249,,0,0,0,0,0,0,,28,151,0,1022,0
120.0424,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,15,125,8,True,0,14,0,60.40649,,0,0,0,0,0,0,,69,351,0,1225,0
150.0437,,11,5,22,25,20,17,26,25,13,8,22,25,42,56,16,11,23,265,15,False,0,20,0,65.24921,,0,0,0,0,0,0,,237,538,0,1692,13
180.0616,,11,7,20,20,21,17,31,27,13,8,20,27,41,54,14,13,25,295,18,False,1,21,0,66.63129,,0,0,0,0,0,0,,321,591,0,1876,13
210.0639,,12,8,20,18,21,17,31,25,14,9,20,32,39,52,14,11,31,385,25,False,1,24,0,68.82501,,0,0,0,0,0,0,,372,641,0,2229,13
240.0653,,12,8,20,17,20,17,30,23,14,9,20,30,40,52,17,16,35,497,31,False,2,26,0,68.10548,,0,0,1,0,0,0,,388,641,0,2539,18
270.0668,,13,10,20,16,21,18,30,21,15,10,20,28,37,48,17,21,39,627,38,False,3,28,0,68.14204,,0,0,1,0,0,0,,446,691,0,2918,33
300.0848,,13,11,20,13,21,20,30,17,19,10,20,42,33,45,17,14,46,762,47,False,4,29,0,68.05317,,0,0,1,0,0,0,,503,761,0,3245,33
330.1191,,12,11,17,12,23,20,38,16,18,10,17,40,32,45,14,18,53,862,54,False,4,31,0,69.41388,,0,0,1,0,0,0,,517,881,0,3904,41
360.1538,,12,11,13,12,22,20,29,16,17,10,13,40,35,45,31,18,54,862,54,False,5,31,0,68.02105,,0,0,1,0,0,0,,523,881,0,4274,50
390.1723,,12,12,12,12,23,22,32,16,19,12,14,39,32,40,27,19,62,952,59,False,6,33,0,66.07424,,0,0,1,0,0,0,,562,951,0,5038,68
420.1901,,10,9,12,12,25,25,32,16,16,8,14,39,35,44,27,19,68,1212,76,False,7,35,0,66.51521,,0,0,1,0,0,0,,628,1051,0,5439,76
450.2421,,10,9,13,12,25,25,33,16,16,9,15,39,34,42,25,19,73,1297,80,False,8,36,0,66.2609,,0,0,1,0,0,0,,659,1051,0,5721,76
480.2767,,11,9,15,12,25,25,33,16,16,9,14,39,33,42,25,19,75,1297,80,False,9,36,0,65.87477,,0,0,1,0,0,0,,664,1051,0,5809,76
510.2946,,11,9,15,12,25,25,33,16,16,9,14,39,33,42,25,19,79,1367,85,False,10,37,0,65.71914,,0,0,1,0,0,0,,680,1115,0,6151,101
540.3135,,11,10,14,12,26,26,34,16,17,10,14,39,32,41,24,19,81,1367,85,False,11,37,0,65.7639,,0,0,1,0,0,0,,738,1171,0,6576,135
570.3474,,11,10,14,12,26,26,34,16,17,10,14,39,32,41,24,19,81,1367,85,False,13,40,0,65.11417,,0,0,1,0,0,0,,770,1171,0,7198,135
600.3658,,11,10,14,12,26,26,34,16,17,10,14,39,32,41,24,19,83,1387,87,False,14,40,0,65.11754,,0,0,1,0,0,0,,772,1171,0,7465,136
