ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,90,10,10,62,0,64,15,2.20843839645386,0,5.09513521194458,7.25819206237793
Ramp1,0,4,14,30.5,0,50,0,30.5,0,13,0
Ramp2,0,7,12,0,0,43,0,0,0,0,0
Speed0,210,15,26,11.5,0,86.0714340209961,15.0000009536743,3.94377398490906,0,2.51590299606323,4.82965421676636
Speed1,200,6,34,139.199996948242,0,120,40,47.6946487426758,0,6.4632248878479,2.32659935951233
Speed2,0,0,16,0,0,0,0,0,0,0,0
Spike0,45,6,10,58.3333320617676,0,71,7.5,5.64675760269165,0,6.35962438583374,3.77157068252563
Spike1,0,4,14,0,0,0,0,0,0,0,0
Spike2,180,9,38,62,0,87.5,90,4,0,5.5,45
Wall0,135,14,53,36.8181800842285,0,65.8181915283203,12.2727270126343,12.2037897109985,0,2.61860275268555,4.58193302154541
Wall1,150,6,36,20.3333320617676,0,63.5,25,8.34903717041016,0,4.21327114105225,11.5680694580078
Wall2,132,8,32,115.833335876465,0.16666667163372,58.8333320617676,22,51.8915977478027,0.796396672725677,26.6830081939697,4.4470796585083
