ID,Time,Air,Tricks,Speed,Points
Ramp0,62.4493713378906,71,0,71,30
Ramp0,71.0493698120117,180,0,21,45
Ramp0,121.229370117188,71,0,92,50
Ramp0,141.949371337891,87,0,115,20
Ramp0,218.109375,55,0,63,30
Ramp0,229.209365844727,77,0,83,30
Ramp0,258.609375,66,0,68,10
Ramp0,263.929351806641,57,0,59,30
Ramp0,273.58935546875,119,0,64,50
Ramp0,289.309356689453,124,0,56,20
Ramp0,327.109375,54,0,55,30
Ramp0,331.189361572266,76,0,84,30
Ramp0,342.889373779297,222,1,32,40
Ramp0,385.449371337891,73,0,76,30
Ramp0,436.529357910156,72,0,39,0
Ramp0,487.189361572266,211,0,11,20
Ramp0,493.069366455078,51,0,53,30
Ramp0,587.449340820313,30,0,85,20
Ramp1,559.909362792969,110,0,55,0
Ramp1,565.029357910156,41,0,73,0
Ramp2,92.0493698120117,289,0,36,30
Ramp2,111.68936920166,166,0,41,50
Ramp2,146.189361572266,77,1,70,10
Ramp2,196.089370727539,102,0,6,0
Ramp2,203.169372558594,180,0,38,50
Ramp2,208.529373168945,169,3,48,28
Ramp2,251.969360351563,188,1,36,30
Ramp2,284.909362792969,195,0,37,0
Ramp2,292.569366455078,79,0,60,0
Ramp2,298.949371337891,134,0,24,30
Ramp2,313.269378662109,202,0,41,20
Ramp2,319.349365234375,171,0,40,0
Ramp2,324.549377441406,166,1,38,62
Ramp2,412.329376220703,230,0,45,30
Ramp2,417.929351806641,159,3,41,86
Ramp2,430.729370117188,308,7,22,85
Ramp2,515.809387207031,256,1,33,30
Ramp2,534.689331054688,282,5,21,0
Speed0,26.9693717956543,0,0,63,0
Speed0,28.6893711090088,0,0,86,0
Speed0,30.489372253418,0,0,88,20
Speed0,32.0893707275391,0,0,87,20
Speed0,35.9493713378906,0,0,72,20
Speed0,39.7293701171875,0,0,74,20
Speed0,54.1493721008301,0,0,65,20
Speed0,113.009368896484,0,0,59,0
Speed0,128.42936706543,0,0,91,20
Speed0,131.449371337891,8,0,95,20
Speed0,164.369369506836,0,0,78,0
Speed0,223.689361572266,0,0,88,20
Speed0,226.529373168945,0,0,91,0
Speed0,236.109359741211,0,0,87,0
Speed0,269.58935546875,0,0,87,20
Speed0,329.069366455078,0,0,78,0
Speed0,335.809356689453,0,0,90,20
Speed0,423.669372558594,0,0,92,0
Speed0,447.649353027344,0,0,113,0
Speed0,449.529357910156,58,0,166,0
Speed0,461.429351806641,0,0,88,20
Speed0,464.789367675781,76,0,65,20
Speed0,518.0693359375,0,0,49,0
Speed0,582.909362792969,0,0,88,20
Speed1,123.169372558594,65,0,158,20
Speed1,156.189361572266,68,0,163,20
Speed1,239.069366455078,58,0,146,35
Speed1,360.709350585938,59,0,153,20
Speed1,381.809356689453,50,0,131,20
Speed1,446.549377441406,222,2,149,44
Speed1,453.649353027344,58,0,154,0
Speed1,471.229370117188,55,0,146,0
Speed1,499.849365234375,52,0,133,40
Speed1,554.649353027344,564,5,11,20
Speed2,94.3093719482422,65,0,121,20
Speed2,115.289367675781,56,0,161,40
Speed2,126.389366149902,28,0,119,40
Speed2,189.469375610352,50,0,142,0
Speed2,211.169372558594,57,0,121,40
Speed2,300.449371337891,44,0,62,20
Speed2,422.429351806641,63,0,146,40
Speed2,525.649353027344,63,0,154,40
Spike0,47.2493705749512,55,0,60,15
Spike0,49.489372253418,52,0,59,15
Spike0,82.1893692016602,47,0,82,15
Spike0,135.949371337891,59,0,86,15
Spike0,267.249359130859,57,0,74,15
Spike0,306.389373779297,63,0,92,0
Spike0,458.349365234375,64,0,77,15
Spike0,473.58935546875,58,0,94,15
Spike0,501.569366455078,65,0,117,0
Spike0,540.509338378906,48,0,66,15
Spike0,563.789367675781,51,0,74,15
Spike0,582.0693359375,55,0,84,30
Spike1,107.329368591309,72,0,63,15
Spike1,303.909362792969,61,0,126,50
Spike1,337.829376220703,59,0,104,15
Spike2,170.569366455078,24,0,82,45
Spike2,234.449371337891,61,0,80,30
Spike2,260.629364013672,57,0,70,30
Spike2,279.869354248047,50,0,72,15
Spike2,480.249359130859,209,2,19,0
Wall0,25.4493713378906,62,0,55,0
Wall0,43.6893730163574,0,0,65,25
Wall0,57.7693710327148,2,0,83,25
Wall0,59.1293716430664,0,0,83,0
Wall0,65.5493698120117,6,0,77,25
Wall0,104.509368896484,2,0,82,25
Wall0,161.049362182617,13,0,82,25
Wall0,179.249374389648,2,0,80,25
Wall0,185.129364013672,2,0,81,0
Wall0,355.209350585938,2,0,80,25
Wall0,363.869354248047,2,0,84,25
Wall0,433.929351806641,2,0,65,25
Wall0,589.909362792969,21,0,83,0
Wall1,74.7893676757813,2,0,72,50
Wall1,80.3693695068359,0,0,82,25
Wall1,101.069366455078,2,0,82,50
Wall1,142.569366455078,3,0,94,0
Wall1,193.069366455078,3,0,81,50
Wall1,242.949371337891,13,0,84,50
Wall1,255.92936706543,13,0,74,50
Wall1,355.649353027344,0,0,81,0
Wall1,356.909362792969,3,0,80,25
Wall1,405.009368896484,0,0,84,0
Wall1,468.169372558594,1,0,74,0
Wall1,475.069366455078,4,0,84,50
Wall1,481.849365234375,0,0,53,0
Wall1,506.889373779297,6,0,82,50
Wall1,583.429382324219,2,0,92,0
Wall2,137.829376220703,79,0,86,0
Wall2,163.629364013672,116,0,69,75
Wall2,215.42936706543,62,0,58,0
