ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,250,9,23,80.4444427490234,0,68.5555572509766,27.7777786254883,4.07003784179688,0,3.04211163520813,1.51911473274231
Ramp1,430,15,27,132.000015258789,0.0714285746216774,73.1428604125977,30.7142848968506,4.7327356338501,0.922163426876068,5.72427940368652,3.13537096977234
Ramp2,368,17,34,243.230773925781,0.999999940395355,44.0769271850586,28.3076915740967,8.53835773468018,1.1223109960556,4.84191656112671,2.40457916259766
Speed0,400,25,36,2.6399998664856,0,86.1999893188477,15.9999990463257,1.21909427642822,0,1.09634447097778,1.50785315036774
Speed1,15,5,15,66.5,0,152,7.5,3.5,0,8,7.5
Speed2,20,1,14,61,0,126,20,0,0,0,0
Spike0,120,9,23,54.714282989502,0,77.1428604125977,17.1428565979004,4.1955418586731,0,8.29974269866943,1.50681400299072
Spike1,425,18,30,58.9333343505859,0,78.5333404541016,28.3333320617676,2.18320870399475,0,1.73524463176727,4.62044334411621
Spike2,225,7,26,54.5999984741211,0,72.8000030517578,45,3.98698282241821,0,4.34205722808838,7.64773511886597
Wall0,50,6,17,1.20000004768372,0,68.5999984741211,10,1.03501379489899,0,7.49495887756348,5.58965253829956
Wall1,150,8,25,12.6666669845581,0,81.6666717529297,25,3.41754865646362,0,1.55617606639862,11.7461576461792
Wall2,330,6,25,115.833335876465,0,42.1666641235352,55,31.2094116210938,0,4.59362983703613,22.7865104675293
