ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,363,17,29,102.5,0.428571432828903,60.4285736083984,25.9285717010498,4.23317527770996,0.940425872802734,8.94662857055664,5.07813501358032
Ramp1,342,12,22,117.818183898926,0.454545468091965,52.2727241516113,31.0909080505371,6.7624716758728,0.934521436691284,2.29212999343872,12.6541137695313
Ramp2,149,7,23,202.399993896484,1.39999997615814,26.7999992370605,29.7999992370605,63.931022644043,1.30290389060974,10.0803833007813,4.46688652038574
Speed0,80,9,19,0,0,68.7142868041992,11.4285707473755,0,0,3.8693516254425,5.22860431671143
Speed1,180,5,27,271.75,2,77.75,45,21.3776378631592,1.52236139774323,12.6590299606323,15.0441474914551
Speed2,80,5,21,66,0,124.333335876465,26.6666660308838,0.912870943546295,0,44.1027870178223,5.37483835220337
Spike0,68,5,18,94,0.333333343267441,51.6666679382324,22.6666660308838,43.1605529785156,0.62360954284668,16.2549133300781,16.4181461334229
Spike1,94,7,24,170,0.75,56,23.5,42.959888458252,0.933891415596008,21.5890007019043,5.49979543685913
Spike2,150,9,24,36.75,0,63.25,37.5,2.91187906265259,0,10.147650718689,4.67840528488159
Wall0,200,11,33,5.70000028610229,0,66.5999984741211,20,13.1377363204956,0,2.29816722869873,6.77367258071899
Wall1,300,11,25,12,0,57.4444427490234,33.3333320617676,5.82744693756104,0,1.97981977462769,6.45293807983398
Wall2,562,10,29,105.33332824707,0.111111111938953,48,62.4444427490234,7.95633983612061,0.543613433837891,5.84205961227417,5.41872358322144
