Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.01929,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,67,4,True,0,1,0,48.50767,,1,0,0,1,0,0,,0,0,0,108,1
60.03639,,30,39,25,25,22,18,25,25,24,22,25,25,10,6,13,13,8,216,16,False,0,6,0,55.07585,,4,0,0,3,0,0,,1,0,0,705,19
90.05201,,29,38,23,23,23,17,25,28,23,21,25,23,11,10,13,11,13,286,21,False,0,9,0,60.75204,,4,0,0,3,0,0,,67,141,0,990,19
120.0525,,28,38,23,19,22,17,25,25,22,21,25,21,14,10,13,21,18,471,29,False,0,11,0,52.81945,,4,0,0,3,0,0,,67,141,0,1368,42
150.0691,,25,38,18,17,19,15,20,23,28,19,43,23,14,14,5,23,27,742,43,False,0,15,0,54.31879,,6,0,0,4,0,0,,106,191,0,1967,49
180.0692,,26,35,25,17,17,14,17,22,28,25,36,23,14,12,8,24,36,1062,63,False,0,17,0,55.23036,,9,0,0,5,0,0,,106,261,0,2522,68
210.0849,,24,34,18,22,23,14,33,20,27,25,33,23,11,14,2,21,43,1244,69,False,0,23,0,59.41665,,15,0,1,11,1,0,,192,421,0,3461,69
240.1017,,25,34,19,22,23,14,33,20,27,25,32,23,11,14,2,21,46,1324,76,False,1,25,0,59.48168,,16,0,1,11,1,0,,192,491,0,3981,97
270.1021,,24,33,19,22,22,13,31,20,27,24,32,23,12,15,4,21,50,1419,80,False,1,27,0,57.84425,,19,0,1,11,1,0,,192,561,0,4668,132
300.1186,,25,33,22,22,21,13,28,20,26,24,30,23,13,16,6,21,55,1634,95,False,1,29,0,57.69898,,21,0,1,11,1,0,,193,561,0,5175,135
330.1344,,27,35,22,26,21,13,28,19,25,23,30,21,12,15,6,20,63,1739,99,False,1,33,0,57.63787,,23,0,4,12,4,0,,198,631,0,6014,147
360.1675,,26,32,22,22,24,18,28,23,25,21,30,23,12,14,6,17,71,1964,110,False,1,39,0,58.9883,,23,0,4,12,4,0,,351,821,0,6553,151
390.1846,,26,32,23,22,24,19,29,24,24,21,28,23,12,14,6,17,77,2059,117,False,1,42,0,59.43781,,23,0,4,12,4,0,,425,871,0,7121,176
420.2014,,26,32,23,22,24,19,29,23,24,21,28,22,12,14,6,18,78,2146,120,False,2,43,0,58.46831,,24,0,4,13,4,0,,425,871,0,7404,196
450.2169,,26,32,23,22,24,19,29,23,24,21,28,22,13,14,6,19,81,2271,128,False,3,44,0,58.20293,,24,0,4,13,4,0,,425,871,0,7770,237
480.2336,,27,32,24,24,23,19,28,22,23,20,27,21,13,15,7,18,87,2433,139,False,3,48,0,57.69905,,27,0,4,13,4,0,,425,871,0,8718,249
510.2343,,27,32,24,24,23,19,28,22,23,20,27,21,13,15,8,18,91,2498,144,False,4,50,0,57.9865,,27,0,4,13,4,0,,476,921,0,9322,255
540.2673,,26,32,22,23,23,20,27,21,23,20,24,24,15,14,13,17,101,2703,155,False,5,55,0,57.30264,,27,0,4,13,4,0,,516,1106,0,9988,296
570.3005,,26,32,22,23,23,20,27,21,23,20,24,24,15,14,13,17,102,2768,158,False,6,56,0,57.77311,,27,0,4,13,4,0,,532,1111,0,10255,328
600.3163,,25,29,22,23,22,19,27,21,22,18,24,24,17,21,13,17,107,2804,160,False,7,64,0,57.82269,,28,0,4,13,4,0,,558,1161,0,10963,342
