ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,322,14,12,61.8181800842285,0.0909090936183929,56.0909080505371,29.2727279663086,1.51926171779633,0.287479788064957,1.92487156391144,4.52176141738892
Ramp1,119,3,18,201.66667175293,2,27,39.6666679382324,95.7856369018555,0.912870943546295,3.48807501792908,7.94075298309326
Ramp2,208,8,25,197.600006103516,1.39999997615814,29.2000007629395,41.5999984741211,7.95164680480957,1.2066547870636,3.57319808006287,19.3089370727539
Speed0,338,27,32,18.2727241516113,0.181818187236786,83.8181915283203,15.3636379241943,1.94112265110016,0.954107344150543,7.10365581512451,5.57516431808472
Speed1,30,6,19,58,0.5,105.5,15,0,0.5,42.5,15
Speed2,0,1,12,0,0,0,0,0,0,0,0
Spike0,100,8,10,64.5714263916016,0.142857149243355,72.7142868041992,14.2857141494751,4.93645048141479,0.815045714378357,10.5842695236206,2.45037317276001
Spike1,95,7,25,104.666664123535,0.666666686534882,62.6666679382324,31.6666660308838,56.8189125061035,0.471404522657394,16.7845821380615,22.7241916656494
Spike2,349,11,33,115.714286804199,1.00000011920929,53.1428565979004,49.8571395874023,25.6907043457031,1.00267386436462,2.44379591941834,2.91522836685181
Wall0,275,12,45,35.6999969482422,0.400000005960464,64.4000015258789,27.5,11.852822303772,0.98950207233429,5.32742309570313,2.57820463180542
Wall1,255,11,36,23.125,0.375,67.625,31.875,26.8880252838135,0.935092628002167,7.36561250686646,5.66783094406128
Wall2,405,10,28,125.285720825195,0.28571429848671,68.4285736083984,57.8571434020996,6.6249041557312,0.867866694927216,19.2606220245361,17.8060207366943
