Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.01946,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,60,6,True,0,0,0,50.2216,,0,0,0,0,0,0,,0,0,0,140,0
60.03518,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,6,170,12,True,0,5,0,50.72543,,0,0,1,0,1,0,,0,0,0,557,1
90.06776,,27,31,25,25,22,18,25,25,27,31,25,25,10,6,13,13,12,295,20,False,0,8,0,50.3714,,0,0,2,0,2,0,,18,101,0,827,1
120.0845,,25,26,23,25,24,21,28,25,26,28,23,25,11,11,11,13,17,420,26,False,1,12,0,53.18091,,0,0,3,0,3,0,,81,291,0,1211,11
150.0998,,23,26,21,22,28,21,34,33,25,29,21,22,10,11,9,10,21,530,32,False,1,16,0,60.32157,,0,0,3,0,3,0,,252,517,0,1506,11
180.1334,,16,13,21,22,37,39,34,37,18,16,21,22,14,19,9,5,29,695,40,False,2,22,0,62.99427,,0,0,5,0,5,0,,348,681,0,2010,11
210.1492,,16,13,20,20,36,39,33,33,18,16,20,20,16,19,12,12,33,815,45,False,2,23,0,66.13595,,0,0,5,0,5,0,,348,751,0,2618,31
240.1823,,16,14,19,17,39,38,38,44,17,16,19,17,14,18,11,8,37,925,49,False,2,24,0,73.7819,,5,0,9,0,5,0,,361,911,0,3558,44
270.1985,,16,15,18,17,39,38,37,44,17,16,21,17,13,16,10,8,41,1025,57,False,2,26,0,72.99081,,5,0,9,0,5,0,,364,911,0,3824,44
300.214,,18,18,20,17,37,34,36,44,18,17,20,17,13,17,9,8,49,1160,67,False,2,30,0,72.56431,,5,0,9,0,5,0,,436,1011,68,4430,50
330.2466,,20,19,25,17,35,33,34,42,18,18,19,17,13,16,8,10,59,1315,76,False,2,32,0,71.85337,,7,0,9,0,5,0,,470,1061,68,4970,83
360.2627,,20,20,23,17,32,30,26,42,17,19,15,16,17,16,22,11,71,1455,86,False,2,34,0,73.02326,,8,0,9,0,5,0,,600,1311,118,5467,97
390.2787,,20,20,23,17,32,30,26,42,17,19,15,16,17,17,22,11,76,1620,93,False,3,36,0,72.9948,,8,0,9,0,5,0,,684,1411,314,5712,103
420.2791,,20,17,23,25,28,25,27,35,15,16,15,13,22,28,22,13,86,1900,106,False,3,41,0,74.02644,,10,0,9,0,5,0,,787,1581,314,6458,114
450.2949,,20,16,22,23,28,25,28,32,17,17,15,19,21,27,21,11,90,2080,112,False,3,46,0,73.71206,,10,0,17,0,13,0,,895,1751,387,7073,116
480.3281,,20,17,22,23,28,26,28,31,18,17,15,22,21,26,21,10,94,2185,117,False,4,49,0,73.25771,,10,0,18,0,14,0,,930,1751,387,7349,116
510.3442,,19,17,22,22,28,26,29,30,18,17,14,24,21,26,21,11,100,2360,124,False,5,56,0,72.86282,,10,0,21,0,17,0,,985,2011,387,7894,119
540.376,,19,17,21,22,27,25,27,30,20,19,20,24,19,25,19,11,112,2645,138,False,5,61,0,73.25037,,10,0,23,0,19,0,,1067,2251,387,8189,119
570.376,,18,17,20,18,27,25,27,32,21,20,19,24,20,24,19,11,119,2765,146,False,6,64,0,72.80281,,10,0,23,0,19,0,,1236,2391,387,8601,125
600.4088,,18,16,20,18,27,24,27,32,20,19,19,24,21,27,19,13,126,2995,157,False,6,69,0,71.94877,,10,0,26,0,22,0,,1297,2481,387,9271,133
