Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00193,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,1,38,3,True,0,1,0,46.1858,,1,0,0,0,0,0,,0,0,0,201,2
60.01886,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,4,113,8,True,0,4,0,42.61789,,4,0,0,0,0,0,,0,0,0,740,182
90.03398,,32,44,24,23,22,18,25,23,23,18,24,28,9,6,12,11,10,292,21,False,0,10,0,52.3621,,7,0,0,2,0,0,,52,121,0,1552,210
120.0344,,33,44,29,22,22,18,26,22,24,18,24,31,8,6,8,10,14,427,31,False,0,15,0,54.45984,,10,0,0,2,0,0,,147,191,0,2186,285
150.0503,,31,39,31,21,23,22,27,21,24,15,25,34,8,10,3,9,22,639,46,False,0,19,0,57.6855,,11,0,0,3,0,0,,244,291,0,2741,291
180.0833,,32,39,32,22,24,23,28,22,24,15,25,34,6,9,1,8,30,813,58,False,0,22,0,61.50908,,13,0,0,5,0,0,,369,411,0,3536,296
210.0994,,30,39,30,19,24,24,24,23,22,15,21,36,10,9,11,9,37,943,67,False,0,25,0,61.81341,,14,0,0,5,0,0,,409,461,0,4088,306
240.1149,,29,35,27,22,22,22,22,21,25,18,23,36,11,10,13,7,45,1093,75,False,0,29,0,61.66875,,14,0,0,5,0,0,,417,461,0,4776,309
270.1475,,24,32,21,19,18,21,16,18,20,16,18,31,23,17,32,18,54,1418,90,False,0,32,0,61.1627,,14,0,0,5,0,0,,463,511,0,5589,329
300.1635,,25,31,21,24,18,21,16,17,21,18,18,29,22,16,32,16,57,1515,94,False,1,36,0,61.42481,,15,0,0,6,0,0,,463,511,0,6001,330
330.1797,,25,31,21,22,20,21,17,21,20,18,16,26,22,16,32,16,66,1765,107,False,1,41,0,63.6409,,15,0,0,6,0,0,,666,771,0,6534,331
360.1798,,25,30,21,23,19,21,16,21,20,19,17,26,22,15,32,16,72,1825,111,False,2,46,0,63.41126,,15,0,0,6,0,0,,666,771,0,7145,335
390.1958,,24,30,21,23,19,22,16,21,20,19,18,26,22,15,31,16,77,1925,116,False,4,47,0,63.99209,,15,0,0,6,0,0,,725,821,0,7377,335
420.2287,,24,30,21,23,19,22,16,21,20,19,18,26,22,15,31,16,79,2035,127,False,5,47,0,64.57047,,15,0,0,6,0,0,,735,821,0,7543,335
450.2776,,25,30,22,22,21,22,16,26,20,19,17,24,21,15,30,15,87,2247,139,False,6,49,0,65.4868,,16,0,0,7,0,0,,808,911,0,8089,349
480.3103,,24,30,21,20,20,22,15,24,23,19,20,30,20,15,29,12,94,2387,150,False,8,52,0,65.88173,,16,0,0,7,0,0,,929,1001,0,8410,353
510.3432,,23,27,21,21,19,20,15,23,22,17,20,29,22,23,29,12,100,2647,165,False,9,58,0,65.09541,,18,0,0,7,0,0,,945,1001,0,9138,396
540.3767,,22,27,19,21,18,20,14,23,21,17,19,29,24,23,34,12,104,2662,166,False,9,59,0,65.04436,,18,0,1,7,0,0,,961,1051,0,9434,421
570.4252,,22,27,19,21,18,20,14,23,21,17,19,29,24,22,34,12,106,2727,171,False,10,61,0,64.97537,,18,0,1,7,0,0,,964,1051,0,9972,425
600.4255,,21,27,18,21,22,21,23,23,20,17,17,29,22,21,29,12,116,3014,186,False,10,62,0,66.52657,,18,0,4,7,0,0,,975,1215,0,10587,434
630.4281,,21,27,18,21,22,21,23,23,20,17,17,29,22,21,29,12,117,3014,186,False,10,62,0,66.55205,,18,0,4,7,0,0,,989,1241,0,10587,434
