ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,370,13,24,86.538459777832,0.769230723381042,56.8461532592773,28.4615383148193,6.37247943878174,1.00889551639557,4.37292528152466,2.89038968086243
Ramp1,90,6,16,182.25,1.25,22,22.5,35.5583763122559,0.994253754615784,11.6822853088379,5.02302074432373
Ramp2,328,15,28,162.727279663086,1.72727262973785,28.8181819915771,29.8181819915771,31.6866607666016,1.07237720489502,6.03096580505371,7.03049945831299
Speed0,100,7,15,0,0,67.8571395874023,14.2857141494751,0,0,7.02200746536255,2.91487669944763
Speed1,160,6,21,187.166656494141,1.16666662693024,55.6666679382324,26.6666660308838,63.186336517334,1.16724729537964,3.58906984329224,3.56591320037842
Speed2,164,3,31,337.333343505859,3.66666674613953,102.666664123535,54.6666679382324,17.7122020721436,0.62360954284668,10.5698747634888,18.1352939605713
Spike0,45,3,13,34,0,58.5,22.5,10,0,17.5,7.5
Spike1,105,4,16,35.5,0,65.25,26.25,3.53563523292542,0,0.698957026004791,2.79731559753418
Spike2,115,5,20,58.5,0.25,45.75,28.75,18.7760734558105,0.698956727981567,4.13533878326416,16.7126369476318
Wall0,37,3,45,19.3333339691162,0.333333343267441,67,12.3333330154419,12.9957265853882,0.62360954284668,6,9.17726612091064
Wall1,104,12,45,59.5999984741211,0.100000001490116,71.7000045776367,10.3999996185303,7.13373517990112,0.886238634586334,8.85639762878418,4.10891914367676
Wall2,222,3,20,63,0.666666686534882,60.6666679382324,74,4.98330545425415,0.471404522657394,5.24933910369873,16.9901924133301
