ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,270,13,13,75.538459777832,0,58.9230766296387,20.769229888916,2.73748779296875,0,9.49513339996338,3.63993096351624
Ramp1,40,4,19,140,0,37.3333320617676,13.3333330154419,99.3747100830078,0,5.00555276870728,10.1105003356934
Ramp2,124,8,24,193,0.400000005960464,44,24.7999992370605,22.1290664672852,0.866748869419098,1.10418593883514,7.60470390319824
Speed0,140,10,11,0,0,71.6666641235352,15.5555553436279,0,0,2.5844144821167,5.62543773651123
Speed1,40,3,20,63.6666679382324,0,110.333335876465,13.3333330154419,4.04831981658936,0,11.2718915939331,9.42809009552002
Speed2,160,7,21,60.2000007629395,0,84.5999984741211,32,3.6007251739502,0,17.4970817565918,4.57057094573975
Spike0,120,10,12,55,0,60.875,15,2.22475147247314,0,4.24404668807983,2.34738850593567
Spike1,210,9,29,52.125,0,60.75,26.25,3.57491779327393,0,10.9302606582642,2.08388638496399
Spike2,410,13,29,51.3000030517578,0,63.7999992370605,41,5.39909505844116,0,7.95281267166138,6.58245277404785
Wall0,95,10,61,45.5555572509766,0,59.3333320617676,10.5555553436279,3.49537372589111,0,9.5032787322998,5.0284161567688
Wall1,100,7,29,14,0,32.5999984741211,20,2.93500924110413,0,7.26937246322632,15.2000036239624
Wall2,187,3,23,129.66667175293,0.333333343267441,73.6666641235352,62.3333320617676,54.1145935058594,0.62360954284668,16.8786506652832,10.0443468093872
