Time,Preferences:,Ramp,RampL0,RampL1,RampL2,Speed,SpeedL0,SpeedL1,SpeedL2,Spike,SpikeL0,SpikeL1,SpikeL2,Wall,WallL0,WallL1,WallL2,NumObjTouched,TotalPoints,Orbs,Intro,Deaths,Jumps,TimesReset,AvgSpeed,Tricks:,Flips,Spins,Turns,Perfect Flips,Perfect Turns,Perfect Spins,Frames:,framesAtMax,framesBoosting,framesDrifting,framesInAir,framesOnBack
30.00261,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,2,45,3,True,0,3,0,50.30573,,0,0,0,0,0,0,,0,0,0,255,0
60.00298,,25,33,33,33,25,33,33,33,25,33,33,33,25,33,33,33,8,135,8,True,0,8,0,53.48459,,0,0,0,0,0,0,,7,51,0,621,0
90.01907,,28,34,25,25,23,21,25,25,23,21,25,25,11,9,13,13,18,330,24,False,0,13,0,56.07904,,0,0,0,0,0,0,,30,151,0,1204,0
120.0191,,15,11,25,23,12,6,25,25,16,12,25,25,42,57,13,13,23,400,29,False,0,15,0,53.09975,,0,0,0,0,0,0,,45,241,0,1662,4
150.0353,,15,11,26,21,14,6,26,30,16,12,26,24,41,57,7,12,26,505,34,False,1,18,0,52.25525,,0,0,0,0,0,0,,45,331,0,1978,5
180.0509,,15,11,24,21,13,6,24,30,18,12,33,24,40,57,6,12,29,595,41,False,2,20,0,51.4125,,0,0,0,0,0,0,,61,331,0,2232,6
210.0837,,15,11,22,20,13,6,22,27,19,12,35,29,39,57,7,10,32,795,53,False,2,23,0,47.66062,,0,0,0,0,0,0,,61,331,0,2457,6
240.1,,14,11,21,18,15,10,21,28,20,11,38,33,36,54,6,7,40,985,65,False,2,29,0,51.08599,,0,0,0,0,0,0,,201,571,0,2895,6
270.1161,,14,11,17,17,15,10,17,28,20,11,33,34,38,54,20,7,45,1115,74,False,2,36,0,50.53535,,0,0,0,0,0,0,,222,571,0,3426,8
300.1167,,13,12,14,17,15,10,18,28,20,11,34,34,38,53,21,7,50,1220,80,False,2,39,0,47.65605,,0,0,0,0,0,0,,222,571,0,3708,9
330.1325,,13,12,14,17,15,10,18,28,20,11,34,34,38,53,21,7,51,1295,86,False,4,39,0,48.7178,,0,0,0,0,0,0,,224,571,0,4084,12
360.1326,,13,12,14,17,15,10,18,28,20,11,34,34,38,53,21,7,54,1345,90,False,5,41,0,50.44297,,0,0,0,0,0,0,,256,571,0,4451,17
390.1488,,14,13,14,16,16,10,18,29,22,12,34,35,35,50,21,6,58,1470,98,False,5,45,0,48.69743,,0,0,0,0,0,0,,256,661,0,4780,18
420.1644,,16,13,13,23,16,11,17,28,21,12,35,31,33,50,20,4,64,1630,110,False,5,47,0,47.63058,,0,0,0,0,0,0,,256,801,0,5382,39
450.1973,,18,13,22,27,15,11,16,26,21,12,32,29,32,50,17,3,66,1704,115,False,6,49,0,48.6052,,2,0,0,2,0,0,,258,801,0,5795,39
480.2136,,17,13,22,22,15,11,16,21,19,11,32,27,34,50,17,16,77,1991,130,False,6,54,0,51.22848,,3,0,0,3,0,0,,591,1081,0,6609,51
510.2297,,17,13,21,23,14,11,15,20,19,11,31,27,35,50,19,16,86,2166,141,False,6,62,0,51.50999,,3,0,0,3,0,0,,621,1081,0,7399,52
540.2297,,18,13,21,24,15,11,15,21,20,11,31,29,34,50,19,11,88,2326,149,False,7,65,0,50.85061,,3,0,0,3,0,0,,683,1131,0,7622,53
570.246,,18,13,21,24,15,11,15,21,20,11,31,29,34,50,19,11,90,2401,152,False,8,66,0,51.47885,,3,0,0,3,0,0,,685,1131,0,7821,54
600.262,,17,13,19,24,16,11,20,21,20,12,29,29,33,49,17,11,97,2466,156,False,9,71,0,51.7318,,3,0,0,3,0,0,,723,1341,0,8248,59
